"SeasonID","League","team","Minuta","Gole"
2003,"bundesliga","Borussia Dortmund","21-30",6
2003,"bundesliga","Borussia Dortmund","31-40",4
2003,"bundesliga","Borussia Dortmund","41-50",10
2003,"bundesliga","Borussia Dortmund","51-60",8
2003,"bundesliga","Borussia Dortmund","61-70",10
2003,"bundesliga","Borussia Dortmund","71-80",8
2003,"bundesliga","Borussia Dortmund","81-90",3
2003,"bundesliga","Eintracht Frankfurt","11-20",8
2003,"bundesliga","Eintracht Frankfurt","21-30",2
2003,"bundesliga","Eintracht Frankfurt","31-40",3
2003,"bundesliga","Eintracht Frankfurt","41-50",3
2003,"bundesliga","Eintracht Frankfurt","51-60",5
2003,"bundesliga","Eintracht Frankfurt","61-70",6
2003,"bundesliga","Eintracht Frankfurt","71-80",6
2003,"bundesliga","Eintracht Frankfurt","81-90",3
2003,"bundesliga","FC Schalke 04","0-10",4
2003,"bundesliga","FC Schalke 04","11-20",4
2003,"bundesliga","FC Schalke 04","21-30",5
2003,"bundesliga","FC Schalke 04","31-40",3
2003,"bundesliga","FC Schalke 04","41-50",4
2003,"bundesliga","FC Schalke 04","51-60",9
2003,"bundesliga","FC Schalke 04","61-70",3
2003,"bundesliga","FC Schalke 04","71-80",4
2003,"bundesliga","FC Schalke 04","81-90",9
2003,"bundesliga","Hamburger SV","0-10",3
2003,"bundesliga","Hamburger SV","11-20",6
2003,"bundesliga","Hamburger SV","21-30",3
2003,"bundesliga","Hamburger SV","31-40",4
2003,"bundesliga","Hamburger SV","41-50",6
2003,"bundesliga","Hamburger SV","51-60",6
2003,"bundesliga","Hamburger SV","61-70",6
2003,"bundesliga","Hamburger SV","71-80",6
2003,"bundesliga","Hamburger SV","81-90",6
2003,"bundesliga","Hannover","0-10",1
2003,"bundesliga","Hannover","11-20",9
2003,"bundesliga","Hannover","21-30",3
2003,"bundesliga","Hannover","31-40",5
2003,"bundesliga","Hannover","41-50",5
2003,"bundesliga","Hannover","51-60",3
2003,"bundesliga","Hannover","61-70",5
2003,"bundesliga","Hannover","71-80",10
2003,"bundesliga","Hannover","81-90",8
2003,"bundesliga","Hertha Berlin","0-10",4
2003,"bundesliga","Hertha Berlin","11-20",5
2003,"bundesliga","Hertha Berlin","21-30",4
2003,"bundesliga","Hertha Berlin","31-40",5
2003,"bundesliga","Hertha Berlin","41-50",4
2003,"bundesliga","Hertha Berlin","51-60",3
2003,"bundesliga","Hertha Berlin","61-70",5
2003,"bundesliga","Hertha Berlin","71-80",3
2003,"bundesliga","Hertha Berlin","81-90",6
2003,"bundesliga","Kaiserslautern","0-10",4
2003,"bundesliga","Kaiserslautern","11-20",1
2003,"bundesliga","Kaiserslautern","21-30",3
2003,"bundesliga","Kaiserslautern","31-40",6
2003,"bundesliga","Kaiserslautern","41-50",3
2003,"bundesliga","Kaiserslautern","51-60",5
2003,"bundesliga","Kaiserslautern","61-70",4
2003,"bundesliga","Kaiserslautern","71-80",11
2003,"bundesliga","Kaiserslautern","81-90",2
2003,"bundesliga","Monachium 1860","0-10",5
2003,"bundesliga","Monachium 1860","11-20",4
2003,"bundesliga","Monachium 1860","21-30",2
2003,"bundesliga","Monachium 1860","31-40",5
2003,"bundesliga","Monachium 1860","41-50",2
2003,"bundesliga","Monachium 1860","51-60",7
2003,"bundesliga","Monachium 1860","61-70",2
2003,"bundesliga","Monachium 1860","71-80",1
2003,"bundesliga","Monachium 1860","81-90",4
2003,"bundesliga","Rostock","0-10",5
2003,"bundesliga","Rostock","11-20",7
2003,"bundesliga","Rostock","21-30",3
2003,"bundesliga","Rostock","31-40",8
2003,"bundesliga","Rostock","41-50",4
2003,"bundesliga","Rostock","51-60",4
2003,"bundesliga","Rostock","61-70",9
2003,"bundesliga","Rostock","71-80",8
2003,"bundesliga","Rostock","81-90",5
2003,"bundesliga","SC Freiburg","0-10",4
2003,"bundesliga","SC Freiburg","11-20",7
2003,"bundesliga","SC Freiburg","21-30",3
2003,"bundesliga","SC Freiburg","31-40",5
2003,"bundesliga","SC Freiburg","41-50",3
2003,"bundesliga","SC Freiburg","51-60",4
2003,"bundesliga","SC Freiburg","61-70",3
2003,"bundesliga","SC Freiburg","71-80",7
2003,"bundesliga","SC Freiburg","81-90",5
2003,"bundesliga","VfB Stuttgart","0-10",8
2003,"bundesliga","VfB Stuttgart","11-20",4
2003,"bundesliga","VfB Stuttgart","21-30",4
2003,"bundesliga","VfB Stuttgart","31-40",7
2003,"bundesliga","VfB Stuttgart","41-50",5
2003,"bundesliga","VfB Stuttgart","51-60",4
2003,"bundesliga","VfB Stuttgart","61-70",7
2003,"bundesliga","VfB Stuttgart","71-80",7
2003,"bundesliga","VfB Stuttgart","81-90",5
2003,"bundesliga","VfL Wolfsburg","0-10",5
2003,"bundesliga","VfL Wolfsburg","11-20",6
2003,"bundesliga","VfL Wolfsburg","21-30",8
2003,"bundesliga","VfL Wolfsburg","31-40",7
2003,"bundesliga","VfL Wolfsburg","41-50",4
2003,"bundesliga","VfL Wolfsburg","51-60",4
2003,"bundesliga","VfL Wolfsburg","61-70",10
2003,"bundesliga","VfL Wolfsburg","71-80",4
2003,"bundesliga","VfL Wolfsburg","81-90",8
2003,"bundesliga","Werder Brema","0-10",5
2003,"bundesliga","Werder Brema","11-20",10
2003,"bundesliga","Werder Brema","21-30",9
2003,"bundesliga","Werder Brema","31-40",12
2003,"bundesliga","Werder Brema","41-50",10
2003,"bundesliga","Werder Brema","51-60",7
2003,"bundesliga","Werder Brema","61-70",7
2003,"bundesliga","Werder Brema","71-80",7
2003,"bundesliga","Werder Brema","81-90",11
2003,"laliga","Albacete","0-10",4
2003,"laliga","Albacete","11-20",4
2003,"laliga","Albacete","21-30",2
2003,"laliga","Albacete","31-40",2
2003,"laliga","Albacete","41-50",4
2003,"laliga","Albacete","51-60",7
2003,"laliga","Albacete","61-70",5
2003,"laliga","Albacete","71-80",7
2003,"laliga","Albacete","81-90",2
2003,"laliga","Ath. Bilbao","0-10",2
2003,"laliga","Ath. Bilbao","11-20",6
2003,"laliga","Ath. Bilbao","21-30",3
2003,"laliga","Ath. Bilbao","31-40",7
2003,"laliga","Ath. Bilbao","41-50",9
2003,"laliga","Ath. Bilbao","51-60",6
2003,"laliga","Ath. Bilbao","61-70",3
2003,"laliga","Ath. Bilbao","71-80",6
2003,"laliga","Ath. Bilbao","81-90",9
2003,"laliga","Atl. Madryt","0-10",3
2003,"laliga","Atl. Madryt","11-20",5
2003,"laliga","Atl. Madryt","21-30",6
2003,"laliga","Atl. Madryt","31-40",6
2003,"laliga","Atl. Madryt","41-50",6
2003,"laliga","Atl. Madryt","51-60",4
2003,"laliga","Atl. Madryt","61-70",6
2003,"laliga","Atl. Madryt","71-80",5
2003,"laliga","Atl. Madryt","81-90",10
2003,"laliga","Barcelona","0-10",9
2003,"laliga","Barcelona","11-20",6
2003,"laliga","Barcelona","21-30",6
2003,"laliga","Barcelona","31-40",7
2003,"laliga","Barcelona","41-50",7
2003,"laliga","Barcelona","51-60",9
2003,"laliga","Barcelona","61-70",6
2003,"laliga","Barcelona","71-80",6
2003,"laliga","Barcelona","81-90",6
2003,"laliga","Betis","0-10",5
2003,"laliga","Betis","11-20",4
2003,"laliga","Betis","21-30",2
2003,"laliga","Betis","31-40",11
2003,"laliga","Betis","41-50",7
2003,"laliga","Betis","51-60",6
2003,"laliga","Betis","61-70",4
2003,"laliga","Betis","71-80",2
2003,"laliga","Betis","81-90",5
2003,"laliga","Celta Vigo","0-10",3
2003,"laliga","Celta Vigo","11-20",6
2003,"laliga","Celta Vigo","21-30",4
2003,"laliga","Celta Vigo","31-40",4
2003,"laliga","Celta Vigo","41-50",6
2003,"laliga","Celta Vigo","51-60",5
2003,"laliga","Celta Vigo","61-70",4
2003,"laliga","Celta Vigo","71-80",6
2003,"laliga","Celta Vigo","81-90",9
2003,"laliga","Espanyol","0-10",5
2003,"laliga","Espanyol","11-20",5
2003,"laliga","Espanyol","21-30",4
2003,"laliga","Espanyol","31-40",2
2003,"laliga","Espanyol","41-50",3
2003,"laliga","Espanyol","51-60",3
2003,"laliga","Espanyol","61-70",7
2003,"laliga","Espanyol","71-80",6
2003,"laliga","Espanyol","81-90",11
2003,"laliga","La Coruna","0-10",2
2003,"laliga","La Coruna","11-20",6
2003,"laliga","La Coruna","21-30",9
2003,"laliga","La Coruna","31-40",5
2003,"laliga","La Coruna","41-50",5
2003,"laliga","La Coruna","51-60",9
2003,"laliga","La Coruna","61-70",5
2003,"laliga","La Coruna","71-80",5
2003,"laliga","La Coruna","81-90",9
2003,"laliga","Malaga","0-10",3
2003,"laliga","Malaga","11-20",7
2003,"laliga","Malaga","21-30",4
2003,"laliga","Malaga","31-40",5
2003,"laliga","Malaga","41-50",7
2003,"laliga","Malaga","51-60",1
2003,"laliga","Malaga","61-70",5
2003,"laliga","Malaga","71-80",9
2003,"laliga","Malaga","81-90",9
2003,"laliga","Mallorca","0-10",5
2003,"laliga","Mallorca","11-20",5
2003,"laliga","Mallorca","21-30",2
2003,"laliga","Mallorca","31-40",6
2003,"laliga","Mallorca","41-50",9
2003,"laliga","Mallorca","51-60",6
2003,"laliga","Mallorca","61-70",4
2003,"laliga","Mallorca","71-80",2
2003,"laliga","Mallorca","81-90",14
2003,"laliga","Murcia","0-10",3
2003,"laliga","Murcia","11-20",5
2003,"laliga","Murcia","21-30",2
2003,"laliga","Murcia","31-40",4
2003,"laliga","Murcia","41-50",4
2003,"laliga","Murcia","51-60",1
2003,"laliga","Murcia","61-70",4
2003,"laliga","Murcia","71-80",2
2003,"laliga","Murcia","81-90",4
2003,"laliga","Osasuna","0-10",1
2003,"laliga","Osasuna","11-20",4
2003,"laliga","Osasuna","21-30",6
2003,"laliga","Osasuna","31-40",3
2003,"laliga","Osasuna","41-50",6
2003,"laliga","Osasuna","51-60",3
2003,"laliga","Osasuna","61-70",2
2003,"laliga","Osasuna","71-80",2
2003,"laliga","Osasuna","81-90",7
2003,"laliga","Racing Santander","0-10",1
2003,"laliga","Racing Santander","11-20",4
2003,"laliga","Racing Santander","21-30",1
2003,"laliga","Racing Santander","31-40",4
2003,"laliga","Racing Santander","41-50",3
2003,"laliga","Racing Santander","51-60",9
2003,"laliga","Racing Santander","61-70",5
2003,"laliga","Racing Santander","71-80",7
2003,"laliga","Racing Santander","81-90",12
2003,"laliga","Real Madryt","0-10",5
2003,"laliga","Real Madryt","11-20",5
2003,"laliga","Real Madryt","21-30",6
2003,"laliga","Real Madryt","31-40",6
2003,"laliga","Real Madryt","41-50",5
2003,"laliga","Real Madryt","51-60",11
2003,"laliga","Real Madryt","61-70",11
2003,"laliga","Real Madryt","71-80",13
2003,"laliga","Real Madryt","81-90",9
2003,"laliga","Real Sociedad","0-10",3
2003,"laliga","Real Sociedad","11-20",2
2003,"laliga","Real Sociedad","21-30",4
2003,"laliga","Real Sociedad","31-40",8
2003,"laliga","Real Sociedad","41-50",6
2003,"laliga","Real Sociedad","51-60",7
2003,"laliga","Real Sociedad","61-70",6
2003,"laliga","Real Sociedad","71-80",5
2003,"laliga","Real Sociedad","81-90",6
2003,"laliga","Sevilla","0-10",8
2003,"laliga","Sevilla","11-20",5
2003,"laliga","Sevilla","21-30",4
2003,"laliga","Sevilla","31-40",5
2003,"laliga","Sevilla","41-50",9
2003,"laliga","Sevilla","51-60",8
2003,"laliga","Sevilla","61-70",3
2003,"laliga","Sevilla","71-80",2
2003,"laliga","Sevilla","81-90",11
2003,"laliga","Valencia","0-10",6
2003,"laliga","Valencia","11-20",7
2003,"laliga","Valencia","21-30",4
2003,"laliga","Valencia","31-40",2
2003,"laliga","Valencia","41-50",11
2003,"laliga","Valencia","51-60",5
2003,"laliga","Valencia","61-70",10
2003,"laliga","Valencia","71-80",15
2003,"laliga","Valencia","81-90",9
2003,"laliga","Valladolid","0-10",4
2003,"laliga","Valladolid","11-20",2
2003,"laliga","Valladolid","21-30",7
2003,"laliga","Valladolid","31-40",6
2003,"laliga","Valladolid","41-50",4
2003,"laliga","Valladolid","51-60",7
2003,"laliga","Valladolid","61-70",7
2003,"laliga","Valladolid","71-80",4
2003,"laliga","Valladolid","81-90",5
2003,"laliga","Villarreal","0-10",3
2003,"laliga","Villarreal","11-20",4
2003,"laliga","Villarreal","21-30",4
2003,"laliga","Villarreal","31-40",5
2003,"laliga","Villarreal","41-50",2
2003,"laliga","Villarreal","51-60",1
2003,"laliga","Villarreal","61-70",7
2003,"laliga","Villarreal","71-80",7
2003,"laliga","Villarreal","81-90",12
2003,"laliga","Zaragoza","0-10",7
2003,"laliga","Zaragoza","11-20",4
2003,"laliga","Zaragoza","21-30",5
2003,"laliga","Zaragoza","31-40",5
2003,"laliga","Zaragoza","41-50",6
2003,"laliga","Zaragoza","51-60",3
2003,"laliga","Zaragoza","61-70",1
2003,"laliga","Zaragoza","71-80",5
2003,"laliga","Zaragoza","81-90",8
2003,"premier-league","Arsenal","0-10",10
2003,"premier-league","Arsenal","11-20",7
2003,"premier-league","Arsenal","21-30",6
2003,"premier-league","Arsenal","31-40",10
2003,"premier-league","Arsenal","41-50",8
2003,"premier-league","Arsenal","51-60",9
2003,"premier-league","Arsenal","61-70",7
2003,"premier-league","Arsenal","71-80",6
2003,"premier-league","Arsenal","81-90",6
2003,"premier-league","Aston Villa","0-10",3
2003,"premier-league","Aston Villa","11-20",5
2003,"premier-league","Aston Villa","21-30",7
2003,"premier-league","Aston Villa","31-40",6
2003,"premier-league","Aston Villa","41-50",7
2003,"premier-league","Aston Villa","51-60",9
2003,"premier-league","Aston Villa","61-70",5
2003,"premier-league","Aston Villa","71-80",1
2003,"premier-league","Aston Villa","81-90",4
2003,"premier-league","Birmingham","0-10",1
2003,"premier-league","Birmingham","11-20",2
2003,"premier-league","Birmingham","21-30",4
2003,"premier-league","Birmingham","31-40",6
2003,"premier-league","Birmingham","41-50",7
2003,"premier-league","Birmingham","51-60",4
2003,"premier-league","Birmingham","61-70",7
2003,"premier-league","Birmingham","71-80",3
2003,"premier-league","Birmingham","81-90",9
2003,"premier-league","Blackburn","0-10",6
2003,"premier-league","Blackburn","11-20",3
2003,"premier-league","Blackburn","21-30",5
2003,"premier-league","Blackburn","31-40",5
2003,"premier-league","Blackburn","41-50",3
2003,"premier-league","Blackburn","51-60",5
2003,"premier-league","Blackburn","61-70",4
2003,"premier-league","Blackburn","71-80",6
2003,"premier-league","Blackburn","81-90",12
2003,"premier-league","Bolton","0-10",5
2003,"premier-league","Bolton","11-20",4
2003,"premier-league","Bolton","21-30",5
2003,"premier-league","Bolton","31-40",2
2003,"premier-league","Bolton","41-50",7
2003,"premier-league","Bolton","51-60",6
2003,"premier-league","Bolton","61-70",1
2003,"premier-league","Bolton","71-80",7
2003,"premier-league","Bolton","81-90",8
2003,"premier-league","Charlton","0-10",6
2003,"premier-league","Charlton","11-20",4
2003,"premier-league","Charlton","21-30",4
2003,"premier-league","Charlton","31-40",7
2003,"premier-league","Charlton","41-50",5
2003,"premier-league","Charlton","51-60",7
2003,"premier-league","Charlton","61-70",4
2003,"premier-league","Charlton","71-80",6
2003,"premier-league","Charlton","81-90",8
2003,"premier-league","Chelsea","0-10",6
2003,"premier-league","Chelsea","11-20",7
2003,"premier-league","Chelsea","21-30",7
2003,"premier-league","Chelsea","31-40",7
2003,"premier-league","Chelsea","41-50",7
2003,"premier-league","Chelsea","51-60",1
2003,"premier-league","Chelsea","61-70",6
2003,"premier-league","Chelsea","71-80",9
2003,"premier-league","Chelsea","81-90",15
2003,"premier-league","Everton","0-10",3
2003,"premier-league","Everton","11-20",6
2003,"premier-league","Everton","21-30",4
2003,"premier-league","Everton","31-40",5
2003,"premier-league","Everton","41-50",3
2003,"premier-league","Everton","51-60",2
2003,"premier-league","Everton","61-70",3
2003,"premier-league","Everton","71-80",10
2003,"premier-league","Everton","81-90",6
2003,"premier-league","Fulham","0-10",6
2003,"premier-league","Fulham","11-20",4
2003,"premier-league","Fulham","21-30",3
2003,"premier-league","Fulham","31-40",3
2003,"premier-league","Fulham","41-50",6
2003,"premier-league","Fulham","51-60",3
2003,"premier-league","Fulham","61-70",9
2003,"premier-league","Fulham","71-80",11
2003,"premier-league","Fulham","81-90",7
2003,"premier-league","Leeds","0-10",5
2003,"premier-league","Leeds","11-20",7
2003,"premier-league","Leeds","21-30",7
2003,"premier-league","Leeds","31-40",1
2003,"premier-league","Leeds","41-50",6
2003,"premier-league","Leeds","51-60",1
2003,"premier-league","Leeds","61-70",4
2003,"premier-league","Leeds","71-80",3
2003,"premier-league","Leeds","81-90",6
2003,"premier-league","Leicester","0-10",3
2003,"premier-league","Leicester","11-20",6
2003,"premier-league","Leicester","21-30",3
2003,"premier-league","Leicester","31-40",5
2003,"premier-league","Leicester","41-50",2
2003,"premier-league","Leicester","51-60",7
2003,"premier-league","Leicester","61-70",3
2003,"premier-league","Leicester","71-80",9
2003,"premier-league","Leicester","81-90",8
2003,"premier-league","Liverpool","0-10",5
2003,"premier-league","Liverpool","11-20",5
2003,"premier-league","Liverpool","21-30",5
2003,"premier-league","Liverpool","31-40",4
2003,"premier-league","Liverpool","41-50",5
2003,"premier-league","Liverpool","51-60",9
2003,"premier-league","Liverpool","61-70",6
2003,"premier-league","Liverpool","71-80",9
2003,"premier-league","Liverpool","81-90",5
2003,"premier-league","Manchester City","0-10",3
2003,"premier-league","Manchester City","11-20",3
2003,"premier-league","Manchester City","21-30",8
2003,"premier-league","Manchester City","31-40",5
2003,"premier-league","Manchester City","41-50",10
2003,"premier-league","Manchester City","51-60",5
2003,"premier-league","Manchester City","61-70",1
2003,"premier-league","Manchester City","71-80",3
2003,"premier-league","Manchester City","81-90",15
2003,"premier-league","Manchester Utd","0-10",6
2003,"premier-league","Manchester Utd","11-20",6
2003,"premier-league","Manchester Utd","21-30",7
2003,"premier-league","Manchester Utd","31-40",8
2003,"premier-league","Manchester Utd","41-50",5
2003,"premier-league","Manchester Utd","51-60",7
2003,"premier-league","Manchester Utd","61-70",7
2003,"premier-league","Manchester Utd","71-80",6
2003,"premier-league","Manchester Utd","81-90",11
2003,"premier-league","Middlesbrough","0-10",5
2003,"premier-league","Middlesbrough","11-20",2
2003,"premier-league","Middlesbrough","21-30",5
