wals code	name	value	description	latitude	longitude	genus	family	area
gam	Gamo	2	Plural suffix	6.66666666667	37.25	Ta-Ne-Omotic	Afro-Asiatic	Nominal Categories
gar	Garo	8	Plural clitic	25.6666666667	90.5	Brahmaputran	Sino-Tibetan	Nominal Categories
grf	Garífuna	2	Plural suffix	15.6666666667	-88.0	Antillean Arawakan	Arawakan	Nominal Categories
gbs	Gbaya (Southwest)	1	Plural prefix	4.7	14.96	Gbaya-Manza-Ngbaka	Niger-Congo	Nominal Categories
gbb	Gbeya Bossangoa	7	Plural word	6.66666666667	17.5	Gbaya-Manza-Ngbaka	Niger-Congo	Nominal Categories
gel	Gela	7	Plural word	-9.08333333333	160.25	Oceanic	Austronesian	Nominal Categories
geo	Georgian	2	Plural suffix	42.0	44.0	Kartvelian	Kartvelian	Nominal Categories
ger	German	2	Plural suffix	52.0	10.0	Germanic	Indo-European	Nominal Categories
gil	Gilaki	2	Plural suffix	37.3333333333	50.0	Iranian	Indo-European	Nominal Categories
gim	Gimira	2	Plural suffix	7.0	35.75	Ta-Ne-Omotic	Afro-Asiatic	Nominal Categories
git	Gitksan	1	Plural prefix	55.3333333333	-127.75	Tsimshianic	Tsimshianic	Nominal Categories
giz	Giziga	7	Plural word	10.3333333333	14.1666666667	Biu-Mandara	Afro-Asiatic	Nominal Categories
goa	Goajiro	2	Plural suffix	12.0	-72.0	Guajiro-Paraujano	Arawakan	Nominal Categories
god	Godoberi	2	Plural suffix	42.6666666667	46.0833333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
goe	Goemai	7	Plural word	8.66666666667	9.75	West Chadic	Afro-Asiatic	Nominal Categories
gok	Gokana	7	Plural word	4.58333333333	7.33333333333	Ogonoid	Niger-Congo	Nominal Categories
gln	Golin	7	Plural word	-6.33333333333	144.75	Chimbu-Wahgi	Trans-New Guinea	Nominal Categories
gon	Gondi	2	Plural suffix	19.0	81.0	Dravidian	Dravidian	Nominal Categories
goo	Gooniyandi	8	Plural clitic	-18.3333333333	126.333333333	Bunuban	Bunuban	Nominal Categories
grb	Grebo	2	Plural suffix	5.0	-8.0	Kru	Niger-Congo	Nominal Categories
grk	Greek (Modern)	2	Plural suffix	39.0	22.0	Greek	Indo-European	Nominal Categories
grw	Greenlandic (West)	2	Plural suffix	64.0	-51.0	Eskimo	Eskimo-Aleut	Nominal Categories
gua	Guaraní	7	Plural word	-26.0	-56.0	Maweti-Guarani	Tupian	Nominal Categories
gud	Gude	2	Plural suffix	10.4166666667	13.4166666667	Biu-Mandara	Afro-Asiatic	Nominal Categories
guh	Guhu-Samane	2	Plural suffix	-8.0	147.333333333	Guhu-Samane	Trans-New Guinea	Nominal Categories
gul	Gula (in Central African Republic)	7	Plural word	9.5	22.5	Bongo-Bagirmi	Central Sudanic	Nominal Categories
gmw	Gumawana	2	Plural suffix	-9.25	150.833333333	Oceanic	Austronesian	Nominal Categories
gum	Gumbaynggir	2	Plural suffix	-30.1666666667	152.5	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
gnn	Gunin	9	No plural	-14.25	126.666666667	Worrorran	Worrorran	Nominal Categories
ggu	Gureng Gureng	2	Plural suffix	-25.25	151.0	Southeastern Pama-Nyungan	Pama-Nyungan	Nominal Categories
gur	Gurung	7	Plural word	28.3333333333	84.3333333333	Bodic	Sino-Tibetan	Nominal Categories
guu	Guugu Yimidhirr	2	Plural suffix	-15.0	144.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
gwo	Gworok	4	Plural tone	9.91666666667	8.16666666667	Benue-Congo Plateau	Niger-Congo	Nominal Categories
gyc	Gyarong (Cogtse)	2	Plural suffix	31.5	102.0	Na-Qiangic	Sino-Tibetan	Nominal Categories
ga	Gã	2	Plural suffix	5.66666666667	-0.166666666667	Ga-Dangme	Niger-Congo	Nominal Categories
gku	Gününa Küne	9	No plural	-41.0	-67.0	Puelche	Chonan	Nominal Categories
hai	Haida	2	Plural suffix	53.0	-132.0	Haida	Haida	Nominal Categories
hal	Halia	7	Plural word	-5.25	154.666666667	Oceanic	Austronesian	Nominal Categories
hhu	Hanga Hundi	2	Plural suffix	-3.83333333333	142.916666667	Ndu	Sepik	Nominal Categories
hat	Hatam	8	Plural clitic	-1.0	134.0	Hatim-Mansim	Hatim-Mansim	Nominal Categories
hau	Hausa	2	Plural suffix	12.0	7.0	West Chadic	Afro-Asiatic	Nominal Categories
haw	Hawaiian	7	Plural word	19.5833333333	-155.5	Oceanic	Austronesian	Nominal Categories
hya	Haya	1	Plural prefix	-2.0	31.5	Bantu	Niger-Congo	Nominal Categories
hay	Hayu	2	Plural suffix	27.25	86.0	Himalayish	Sino-Tibetan	Nominal Categories
hdi	Hdi	2	Plural suffix	11.8666666667	13.7166666667	Biu-Mandara	Afro-Asiatic	Nominal Categories
heb	Hebrew (Modern)	2	Plural suffix	31.5	34.8333333333	Semitic	Afro-Asiatic	Nominal Categories
hem	Hemba	1	Plural prefix	-6.25	27.1666666667	Bantu	Niger-Congo	Nominal Categories
hid	Hidatsa	2	Plural suffix	47.0	-102.5	Missouri River Siouan	Siouan	Nominal Categories
hin	Hindi	2	Plural suffix	25.0	77.0	Indic	Indo-European	Nominal Categories
hix	Hixkaryana	7	Plural word	-1.0	-59.0	Cariban	Cariban	Nominal Categories
hma	Hmar	2	Plural suffix	24.1666666667	93.0	Kuki-Chin	Sino-Tibetan	Nominal Categories
ho	Ho	2	Plural suffix	22.0	86.0	Munda	Austro-Asiatic	Nominal Categories
hoa	Hoava	7	Plural word	-8.08333333333	157.5	Oceanic	Austronesian	Nominal Categories
hop	Hopi	2	Plural suffix	36.0	-110.0	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
hlp	Hualapai	2	Plural suffix	35.5	-113.75	Yuman	Hokan	Nominal Categories
htc	Huastec	2	Plural suffix	22.0833333333	-99.3333333333	Mayan	Mayan	Nominal Categories
hve	Huave (San Mateo del Mar)	1	Plural prefix	16.2166666667	-95.0	Huavean	Huavean	Nominal Categories
hui	Huichol	2	Plural suffix	22.0	-104.0	Corachol	Uto-Aztecan	Nominal Categories
hmi	Huitoto (Minica)	2	Plural suffix	-0.333333333333	-74.0	Witoto	Witotoan	Nominal Categories
hum	Huitoto (Murui)	2	Plural suffix	-1.0	-73.5	Witoto	Witotoan	Nominal Categories
hnd	Hunde	1	Plural prefix	-1.16666666667	28.8333333333	Bantu	Niger-Congo	Nominal Categories
hun	Hungarian	2	Plural suffix	47.0	20.0	Ugric	Uralic	Nominal Categories
hzb	Hunzib	2	Plural suffix	42.1666666667	46.25	Avar-Andic-Tsezic	Nakh-Daghestanian	Nominal Categories
hpd	Hup	8	Plural clitic	0.166666666667	-69.25	Nadahup	Nadahup	Nominal Categories
hup	Hupa	9	No plural	41.0833333333	-123.666666667	Athapaskan	Na-Dene	Nominal Categories
isa	I'saka	9	No plural	-2.83333333333	141.283333333	Krisa	Skou	Nominal Categories
iaa	Iaai	7	Plural word	-20.4166666667	166.583333333	Oceanic	Austronesian	Nominal Categories
iba	Iban	9	No plural	2.0	112.0	Malayo-Sumbawan	Austronesian	Nominal Categories
ice	Icelandic	2	Plural suffix	65.0	-17.0	Germanic	Indo-European	Nominal Categories
idn	Iduna	2	Plural suffix	-9.33333333333	150.25	Oceanic	Austronesian	Nominal Categories
ifm	Ifumu	1	Plural prefix	-3.66666666667	15.3333333333	Bantu	Niger-Congo	Nominal Categories
igb	Igbo	6	Mixed morphological plural	6.0	7.33333333333	Igboid	Niger-Congo	Nominal Categories
ign	Ignaciano	2	Plural suffix	-15.1666666667	-65.4166666667	Bolivia-Parana	Arawakan	Nominal Categories
iha	Iha	6	Mixed morphological plural	-2.91666666667	132.25	West Bomberai	Greater West Bomberai	Nominal Categories
ijo	Ijo (Kolokuma)	2	Plural suffix	4.91666666667	5.66666666667	Ijoid	Ijoid	Nominal Categories
ik	Ik	2	Plural suffix	3.75	34.1666666667	Kuliak	Eastern Sudanic	Nominal Categories
ika	Ika	7	Plural word	10.6666666667	-73.75	Arhuacic	Chibchan	Nominal Categories
ila	Ila	1	Plural prefix	-15.5833333333	26.5	Bantu	Niger-Congo	Nominal Categories
imo	Imonda	9	No plural	-3.33333333333	141.166666667	Border	Border	Nominal Categories
ina	Inanwatan	2	Plural suffix	-2.08333333333	132.083333333	Inanwatan	South Bird's Head	Nominal Categories
ind	Indonesian	5	Plural complete reduplication	0.0	106.0	Malayo-Sumbawan	Austronesian	Nominal Categories
igs	Ingessana	2	Plural suffix	11.5	34.0	Eastern Jebel	Eastern Sudanic	Nominal Categories
ing	Ingush	2	Plural suffix	43.1666666667	45.0833333333	Nakh	Nakh-Daghestanian	Nominal Categories
inn	Innamincka	2	Plural suffix	-27.75	140.75	Central Pama-Nyungan	Pama-Nyungan	Nominal Categories
irx	Iranxe	9	No plural	-13.0	-58.0	Iranxe	Iranxe	Nominal Categories
irq	Iraqw	2	Plural suffix	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Nominal Categories
iri	Irish	6	Mixed morphological plural	53.0	-8.0	Celtic	Indo-European	Nominal Categories
ita	Italian	2	Plural suffix	43.0	12.0	Romance	Indo-European	Nominal Categories
ite	Itelmen	2	Plural suffix	57.0	157.5	Southern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
ito	Itonama	2	Plural suffix	-12.8333333333	-64.3333333333	Itonama	Itonama	Nominal Categories
kwy	Iwoyo	1	Plural prefix	-5.5	12.25	Bantu	Niger-Congo	Nominal Categories
jar	Izere	1	Plural prefix	9.5	8.6666667	Benue-Congo Plateau	Niger-Congo	Nominal Categories
izi	Izi	9	No plural	6.33333333333	8.0	Igboid	Niger-Congo	Nominal Categories
jak	Jakaltek	7	Plural word	15.6666666667	-91.6666666667	Mayan	Mayan	Nominal Categories
jms	Jamsay	6	Mixed morphological plural	14.4166666667	-2.5	Dogon	Dogon	Nominal Categories
jpn	Japanese	2	Plural suffix	37.0	140.0	Japanese	Japanese	Nominal Categories
jaq	Jaqaru	2	Plural suffix	-13.0	-76.0	Aymaran	Aymaran	Nominal Categories
jeb	Jebero	2	Plural suffix	-5.41666666667	-76.5	Cahuapanan	Cahuapanan	Nominal Categories
jel	Jeli	8	Plural clitic	9.5	-5.66666666667	Western Mande	Mande	Nominal Categories
jng	Jingpho	7	Plural word	25.4166666667	97.0	Brahmaputran	Sino-Tibetan	Nominal Categories
jiv	Jivaro	2	Plural suffix	-2.5	-78.0	Jivaroan	Jivaroan	Nominal Categories
jug	Jugli	2	Plural suffix	27.5	96.3333333333	Brahmaputran	Sino-Tibetan	Nominal Categories
juk	Jukun	1	Plural prefix	6.91666666667	10.4166666667	Jukunoid	Niger-Congo	Nominal Categories
jmo	Jur Mödö	7	Plural word	6.0	30.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
juh	Ju|'hoan	8	Plural clitic	-19.0	21.0	Ju-Kung	Kxa	Nominal Categories
kab	Kabardian	2	Plural suffix	43.5	43.5	Northwest Caucasian	Northwest Caucasian	Nominal Categories
kac	Kachari	2	Plural suffix	26.5	91.0	Brahmaputran	Sino-Tibetan	Nominal Categories
kdw	Kadiwéu	2	Plural suffix	-20.0	-57.0	Kadiwéu	Guaicuruan	Nominal Categories
kad	Kadugli	1	Plural prefix	11.0	29.6666666667	Kadugli	Kadu	Nominal Categories
kgr	Kagulu	1	Plural prefix	-6.33333333333	37.0	Bantu	Niger-Congo	Nominal Categories
kai	Kaian	2	Plural suffix	-4.08333333333	144.75	Lower Ramu	Ramu-Lower Sepik	Nominal Categories
krr	Kairiru	7	Plural word	-3.33333333333	143.583333333	Oceanic	Austronesian	Nominal Categories
kmk	Kalmyk	2	Plural suffix	44.0	83.0	Mongolic	Altaic	Nominal Categories
kma	Kamaiurá	2	Plural suffix	-12.0833333333	-52.5833333333	Maweti-Guarani	Tupian	Nominal Categories
kmz	Kamasau	9	No plural	-3.91666666667	143.666666667	Marienberg	Torricelli	Nominal Categories
kms	Kamass	2	Plural suffix	52.0	92.0	Samoyedic	Uralic	Nominal Categories
kba	Kamba	1	Plural prefix	-1.5	38.0	Bantu	Niger-Congo	Nominal Categories
kan	Kana	7	Plural word	4.75	7.41666666667	Ogonoid	Niger-Congo	Nominal Categories
knk	Kanakuru	2	Plural suffix	10.0	12.0	West Chadic	Afro-Asiatic	Nominal Categories
kbu	Kanembu	2	Plural suffix	14.0	15.0	Western Saharan	Saharan	Nominal Categories
knd	Kannada	2	Plural suffix	14.0	76.0	Dravidian	Dravidian	Nominal Categories
knr	Kanuri	2	Plural suffix	12.0	13.0	Western Saharan	Saharan	Nominal Categories
kyo	Kanyok	1	Plural prefix	-7.33333333333	23.5833333333	Bantu	Niger-Congo	Nominal Categories
kar	Kara (in Central African Republic)	8	Plural clitic	10.0	23.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
krc	Karachay-Balkar	2	Plural suffix	43.5	42.0	Turkic	Altaic	Nominal Categories
jva	Karajá	2	Plural suffix	-10.0	-50.3333333333	Karajá	Macro-Ge	Nominal Categories
kkp	Karakalpak	2	Plural suffix	43.0	60.0	Turkic	Altaic	Nominal Categories
kbw	Karen (Bwe)	9	No plural	19.5	97.0	Karen	Sino-Tibetan	Nominal Categories
ksg	Karen (Sgaw)	7	Plural word	18.0	97.0	Karen	Sino-Tibetan	Nominal Categories
kmj	Karimojong	1	Plural prefix	3.0	34.1666666667	Eastern Nilotic	Eastern Sudanic	Nominal Categories
krk	Karok	2	Plural suffix	41.6666666667	-123.0	Karok	Hokan	Nominal Categories
kaa	Karó (Arára)	8	Plural clitic	-10.3333333333	-62.0	Ramarama	Tupian	Nominal Categories
ktc	Katcha	1	Plural prefix	10.8333333333	29.6666666667	Kadugli	Kadu	Nominal Categories
ktm	Kathlamet	6	Mixed morphological plural	46.14	-123.4	Chinookan	Penutian	Nominal Categories
ktl	Katla	1	Plural prefix	11.8333333333	29.3333333333	Katla-Tima	Kordofanian	Nominal Categories
kws	Kawaiisu	2	Plural suffix	36.0	-117.5	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
kyz	Kayabí	9	No plural	-11.0	-55.5	Maweti-Guarani	Tupian	Nominal Categories
kyl	Kayah Li (Eastern)	9	No plural	19.0	97.5	Karen	Sino-Tibetan	Nominal Categories
kay	Kayardild	9	No plural	-17.05	139.5	Tangkic	Tangkic	Nominal Categories
kel	Kele	9	No plural	-2.08333333333	147.083333333	Oceanic	Austronesian	Nominal Categories
kem	Kemant	2	Plural suffix	12.6666666667	37.4166666667	Central Cushitic	Afro-Asiatic	Nominal Categories
ken	Kenga	8	Plural clitic	12.0	18.0	Bongo-Bagirmi	Central Sudanic	Nominal Categories
ker	Kera	1	Plural prefix	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Nominal Categories
ksa	Keresan (Santa Ana)	8	Plural clitic	35.4166666667	-106.666666667	Keresan	Keresan	Nominal Categories
ket	Ket	2	Plural suffix	64.0	87.0	Yeniseian	Yeniseian	Nominal Categories
kew	Kewa	2	Plural suffix	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
khl	Khalaj	2	Plural suffix	35.0	50.0	Turkic	Altaic	Nominal Categories
khg	Khaling	2	Plural suffix	27.5	86.6666666667	Himalayish	Sino-Tibetan	Nominal Categories
kha	Khalkha	6	Mixed morphological plural	47.0	105.0	Mongolic	Altaic	Nominal Categories
kmh	Kham	2	Plural suffix	28.5	82.75	Himalayish	Sino-Tibetan	Nominal Categories
khd	Kham (Dege)	8	Plural clitic	31.8333333333	98.5833333333	Bodic	Sino-Tibetan	Nominal Categories
kty	Khanty	2	Plural suffix	65.0	65.0	Ugric	Uralic	Nominal Categories
khr	Kharia	8	Plural clitic	22.5	84.3333333333	Munda	Austro-Asiatic	Nominal Categories
khs	Khasi	7	Plural word	25.5	92.0	Khasian	Austro-Asiatic	Nominal Categories
khi	Khinalug	2	Plural suffix	41.1666666667	48.0833333333	Khinalug	Nakh-Daghestanian	Nominal Categories
khm	Khmer	7	Plural word	12.5	105.0	Khmer	Austro-Asiatic	Nominal Categories
kmu	Khmu'	9	No plural	21.0	102.0	Khmuic	Austro-Asiatic	Nominal Categories
kik	Kikuyu	1	Plural prefix	-0.75	36.75	Bantu	Niger-Congo	Nominal Categories
klv	Kilivila	6	Mixed morphological plural	-8.5	151.083333333	Oceanic	Austronesian	Nominal Categories
klw	Kiliwa	2	Plural suffix	31.3333333333	-115.666666667	Yuman	Hokan	Nominal Categories
kim	Kimaghama	7	Plural word	-8.0	138.5	Kolopom	Kolopom	Nominal Categories
kga	Kinga	1	Plural prefix	-9.0	34.0	Bantu	Niger-Congo	Nominal Categories
knn	Kinnauri	2	Plural suffix	31.5	78.0	Bodic	Sino-Tibetan	Nominal Categories
kio	Kiowa	2	Plural suffix	37.0	-99.0	Kiowa-Tanoan	Kiowa-Tanoan	Nominal Categories
kri	Kipea	2	Plural suffix	-10.0	-37.0	Kariri	Kariri	Nominal Categories
kie	Kire	2	Plural suffix	-4.25	144.75	Ruboni	Ramu-Lower Sepik	Nominal Categories
kgz	Kirghiz	2	Plural suffix	42.0	75.0	Turkic	Altaic	Nominal Categories
krb	Kiribati	6	Mixed morphological plural	1.33333333333	173.0	Oceanic	Austronesian	Nominal Categories
kir	Kirma	2	Plural suffix	10.25	-4.83333333333	Kirma-Tyurama	Niger-Congo	Nominal Categories
kis	Kisi	8	Plural clitic	8.83333333333	-10.1666666667	Southern Mel	Niger-Congo	Nominal Categories
kiw	Kiwai (Southern)	2	Plural suffix	-8.0	143.5	Kiwaian	Trans-New Guinea	Nominal Categories
klm	Klamath	6	Mixed morphological plural	42.5	-121.5	Klamath-Modoc	Penutian	Nominal Categories
kla	Klao	2	Plural suffix	4.75	-8.75	Kru	Niger-Congo	Nominal Categories
shp	Klikitat	2	Plural suffix	46.5	-120.0	Sahaptian	Penutian	Nominal Categories
koa	Koasati	8	Plural clitic	34.8333333333	-85.1666666667	Muskogean	Muskogean	Nominal Categories
kob	Kobon	2	Plural suffix	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Nominal Categories
koe	Koegu	8	Plural clitic	7.0	36.0833333333	South Surmic	Eastern Sudanic	Nominal Categories
kmo	Koiali (Mountain)	2	Plural suffix	-9.0	147.5	Koiarian	Trans-New Guinea	Nominal Categories
kta	Koita	2	Plural suffix	-9.33333333333	147.083333333	Koiarian	Trans-New Guinea	Nominal Categories
kok	Kokborok	2	Plural suffix	24.3333333333	92.5	Brahmaputran	Sino-Tibetan	Nominal Categories
kkt	Kokota	7	Plural word	-8.0	159.133333333	Oceanic	Austronesian	Nominal Categories
kol	Kolami	2	Plural suffix	20.0	78.5	Dravidian	Dravidian	Nominal Categories
xbi	Kombio	7	Plural word	-3.5	142.75	Kombio-Arapesh	Torricelli	Nominal Categories
kop	Komi-Permyak	2	Plural suffix	59.5	54.5	Permic	Uralic	Nominal Categories
kom	Komo	1	Plural prefix	8.75	33.75	Koman	Koman	Nominal Categories
kon	Kongo	1	Plural prefix	-5.0	15.0	Bantu	Niger-Congo	Nominal Categories
knw	Konkow	2	Plural suffix	39.5	-121.5	Maiduan	Penutian	Nominal Categories
kni	Konni	2	Plural suffix	10.25	-1.58333333333	Oti-Volta	Niger-Congo	Nominal Categories
krn	Korana	2	Plural suffix	-29.5	20.5	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
kor	Korean	2	Plural suffix	37.5	128.0	Korean	Korean	Nominal Categories
kku	Korku	2	Plural suffix	22.5	78.5	Munda	Austro-Asiatic	Nominal Categories
kfe	Koromfe	2	Plural suffix	14.25	-0.916666666667	Koromfe	Niger-Congo	Nominal Categories
krw	Korowai	2	Plural suffix	-5.25	140.0	Becking-Dawi	Trans-New Guinea	Nominal Categories
kry	Koryak	2	Plural suffix	61.0	167.0	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Nominal Categories
koy	Koya	2	Plural suffix	17.5	81.3333333333	Dravidian	Dravidian	Nominal Categories
kch	Koyra Chiini	7	Plural word	17.0	-3.0	Songhay	Songhay	Nominal Categories
kse	Koyraboro Senni	8	Plural clitic	16.0	0.0	Songhay	Songhay	Nominal Categories
kpe	Kpelle	2	Plural suffix	7.0	-10.0	Western Mande	Mande	Nominal Categories
kpo	Kposo	8	Plural clitic	7.5	0.833333333333	Ka-Togo	Niger-Congo	Nominal Categories
kre	Kresh	7	Plural word	8.5	24.5	Kresh	Central Sudanic	Nominal Categories
kro	Krongo	1	Plural prefix	10.5	30.0	Kadugli	Kadu	Nominal Categories
knc	Kugu Nganhcara	9	No plural	-14.4166666667	142.0	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
kya	Kuku-Yalanji	5	Plural complete reduplication	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
kum	Kumauni	2	Plural suffix	30.0	80.0	Indic	Indo-European	Nominal Categories
knm	Kunama	8	Plural clitic	14.5	37.0	Kunama	Kunama	Nominal Categories
kuo	Kuot	7	Plural word	-3.05	151.5	Kuot	Kuot	Nominal Categories
krd	Kurdish (Central)	2	Plural suffix	36.0	44.0	Iranian	Indo-European	Nominal Categories
kut	Kutenai	1	Plural prefix	49.5	-116.0	Kutenai	Kutenai	Nominal Categories
thy	Kuuk Thaayorre	9	No plural	-14.5833333333	141.833333333	Northern Pama-Nyungan	Pama-Nyungan	Nominal Categories
kuv	Kuvi	2	Plural suffix	18.75	82.6666666667	Dravidian	Dravidian	Nominal Categories
kwa	Kwaio	7	Plural word	-8.95	161.0	Oceanic	Austronesian	Nominal Categories
kwn	Kwangali	1	Plural prefix	-18.0	19.5	Bantu	Niger-Congo	Nominal Categories
kwz	Kwaza	9	No plural	-12.5833333333	-60.6666666667	Kwaza	Kwaza	Nominal Categories
kwo	Kwoma	7	Plural word	-4.16666666667	142.75	Nukuma	Sepik	Nominal Categories
kwt	Kwomtari	2	Plural suffix	-3.5	141.5	Kwomtari	Kwomtari	Nominal Categories
kxo	Kxoe	2	Plural suffix	-17.5	22.5	Khoe-Kwadi	Khoe-Kwadi	Nominal Categories
kyk	Kyaka	7	Plural word	-5.55	144.083333333	Enga_Kewa-Huli	Trans-New Guinea	Nominal Categories
kgy	Kyirong	8	Plural clitic	28.4166666667	85.3333333333	Bodic	Sino-Tibetan	Nominal Categories
kyq	Kyuquot	2	Plural suffix	50.1666666667	-127.166666667	Southern Wakashan	Wakashan	Nominal Categories
laa	Laal	3	Plural stem change	10.0	17.6666666667	Laal	Laal	Nominal Categories
lad	Ladakhi	2	Plural suffix	34.0	78.0	Bodic	Sino-Tibetan	Nominal Categories
laf	Lafofa	1	Plural prefix	10.25	31.25	Lafofa	Kordofanian	Nominal Categories
lag	Lagwan	6	Mixed morphological plural	11.5	14.8333333333	Biu-Mandara	Afro-Asiatic	Nominal Categories
lah	Lahu	2	Plural suffix	20.0	98.1666666667	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lai	Lai	7	Plural word	22.6666666667	93.6666666667	Kuki-Chin	Sino-Tibetan	Nominal Categories
lkt	Lakhota	7	Plural word	43.8333333333	-101.833333333	Mississippi Valley Siouan	Siouan	Nominal Categories
lal	Lalo	9	No plural	25.0	100.25	Burmese-Lolo	Sino-Tibetan	Nominal Categories
lmh	Lamaholot	5	Plural complete reduplication	-8.25	122.916666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
lmg	Lamang	2	Plural suffix	11.25	13.5833333333	Biu-Mandara	Afro-Asiatic	Nominal Categories
lmn	Lamani	2	Plural suffix	17.0	77.0	Indic	Indo-European	Nominal Categories
lmb	Lamba	1	Plural prefix	-13.0	28.0	Bantu	Niger-Congo	Nominal Categories
lmu	Lamen	7	Plural word	-16.5833333333	168.166666667	Oceanic	Austronesian	Nominal Categories
lan	Lango	2	Plural suffix	2.16666666667	33.0	Western Nilotic	Eastern Sudanic	Nominal Categories
lao	Lao	9	No plural	18.0	103.0	Kam-Tai	Tai-Kadai	Nominal Categories
lar	Laragia	2	Plural suffix	-12.6666666667	130.833333333	Laragiya	Darwin Region	Nominal Categories
lat	Latvian	2	Plural suffix	57.0	24.0	Baltic	Indo-European	Nominal Categories
lav	Lavukaleve	2	Plural suffix	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Nominal Categories
leg	Lega	1	Plural prefix	-2.83333333333	27.1666666667	Bantu	Niger-Congo	Nominal Categories
lec	Leko	2	Plural suffix	-15.0	-67.9166666667	Leko	Leko	Nominal Categories
lel	Lele	2	Plural suffix	9.08333333333	15.5833333333	East Chadic	Afro-Asiatic	Nominal Categories
llm	Lelemi	1	Plural prefix	7.33333333333	0.5	Na-Togo	Niger-Congo	Nominal Categories
len	Lenakel	7	Plural word	-19.45	169.25	Oceanic	Austronesian	Nominal Categories
ldu	Lendu	2	Plural suffix	2.0	30.5	Lendu	Central Sudanic	Nominal Categories
lng	Lengua	2	Plural suffix	-22.5	-59.0	Mascoian	Mascoian	Nominal Categories
lep	Lepcha	7	Plural word	27.1666666667	88.5	Himalayish	Sino-Tibetan	Nominal Categories
les	Lese	2	Plural suffix	2.0	29.0	Mangbutu-Efe	Central Sudanic	Nominal Categories
let	Leti	8	Plural clitic	-8.2	127.666666667	Central Malayo-Polynesian	Austronesian	Nominal Categories
lew	Lewo	7	Plural word	-16.75	168.333333333	Oceanic	Austronesian	Nominal Categories
lez	Lezgian	2	Plural suffix	41.6666666667	47.8333333333	Lezgic	Nakh-Daghestanian	Nominal Categories
lim	Limbu	9	No plural	27.1666666667	87.75	Himalayish	Sino-Tibetan	Nominal Categories
lnd	Linda	7	Plural word	6.5	20.75	Ubangi	Niger-Congo	Nominal Categories
lit	Lithuanian	2	Plural suffix	55.0	24.0	Baltic	Indo-European	Nominal Categories
ara	Lokono	2	Plural suffix	5.5	-55.1666666667	Antillean Arawakan	Arawakan	Nominal Categories
ldo	Londo	1	Plural prefix	5.0	9.16666666667	Bantu	Niger-Congo	Nominal Categories
lgu	Longgu	8	Plural clitic	-9.75	160.666666667	Oceanic	Austronesian	Nominal Categories
lon	Loniu	7	Plural word	-2.06666666667	147.333333333	Oceanic	Austronesian	Nominal Categories
lot	Lotha	6	Mixed morphological plural	26.5	94.25	Central Naga	Sino-Tibetan	Nominal Categories
lou	Lou	7	Plural word	-2.38333333333	147.316666667	Oceanic	Austronesian	Nominal Categories
lda	Luganda	1	Plural prefix	0.5	32.1666666667	Bantu	Niger-Congo	Nominal Categories
lug	Lugbara	2	Plural suffix	3.08333333333	30.9166666667	Moru-Ma'di	Central Sudanic	Nominal Categories
lui	Luiseño	2	Plural suffix	33.3333333333	-117.166666667	Northern Uto-Aztecan	Uto-Aztecan	Nominal Categories
lul	Lule	2	Plural suffix	-28.0	-64.0	Lule	Lule	Nominal Categories
lbu	Lunda	1	Plural prefix	-10.6666666667	24.0	Bantu	Niger-Congo	Nominal Categories
lun	Lungchang	2	Plural suffix	27.5	96.4166666667	Brahmaputran	Sino-Tibetan	Nominal Categories
luo	Luo	2	Plural suffix	-0.5	34.75	Western Nilotic	Eastern Sudanic	Nominal Categories
kkv	Lusi	1	Plural prefix	-5.58333333333	149.666666667	Oceanic	Austronesian	Nominal Categories
luv	Luvale	1	Plural prefix	-12.0	22.0	Bantu	Niger-Congo	Nominal Categories
jlu	Luwo	2	Plural suffix	8.0	28.0	Western Nilotic	Eastern Sudanic	Nominal Categories
ma	Ma	2	Plural suffix	3.5	28.0	Ubangi	Niger-Congo	Nominal Categories
mad	Ma'di	6	Mixed morphological plural	3.25	31.5	Moru-Ma'di	Central Sudanic	Nominal Categories
maa	Maasai	2	Plural suffix	-3.0	36.0	Eastern Nilotic	Eastern Sudanic	Nominal Categories
mab	Maba	2	Plural suffix	13.75	20.8333333333	Maban	Maban	Nominal Categories
