Title,Country,Rating
Indiana Jones i ostatnia krucjata,United States,8.2
Kill Bill 2,United States,8.0
Miasto Boga,Brazil/France,8.6
Człowiek ze stali,United States/United Kingdom,7.1
Full Metal Jacket,United Kingdom/United States,8.2
Amelia,France/Germany,8.3
Na noże,United States,7.9
Nowy początek,United States/Canada,7.9
Sin City: Miasto grzechu,United States,8.0
Obcy 2 - decydujące starcie,United Kingdom/United States,8.4
Piraci z Karaibów: Skrzynia umarlaka,United States,7.4
Strażnicy Galaktyki vol. 2,United States,7.6
The Social Network,United States,7.8
Gwiezdne wojny: Część II - Atak klonów,United States/United Kingdom,6.6
John Wick,United States,7.5
Życie jest piękne,Italy,8.6
American Psycho,United States,7.6
Dunkierka,United Kingdom/Netherlands/France/United States,7.8
Batman kontra Superman: Świt sprawiedliwości,United States/Morocco,6.5
Shrek,United States,7.9
Na skraju jutra,United States/Canada/India,7.9
"X-Men: Przeszłość, która nadejdzie",United Kingdom/United States/Canada,7.9
Top Gun: Maverick,United States,8.2
Zniewolony,United Kingdom/United States,8.1
Poradnik pozytywnego myślenia,United States,7.7
Uciekaj!,United States/Japan,7.8
Spider-Man: Homecoming,United States,7.4
Fargo,United Kingdom/United States,8.1
Gorączka,United States,8.3
2001: Odyseja kosmiczna,United Kingdom/United States,8.3
World War Z,United States/United Kingdom,7.0
Kingsman: Tajne służby,United Kingdom/United States,7.7
Psychoza,United States,8.5
Thor: Mroczny świat,United States,6.7
Skyfall,United Kingdom/United States/China,7.8
Ant-Man,United States,7.2
Trainspotting,United Kingdom/United States,8.1
Igrzyska śmierci: W pierścieniu ognia,United States,7.5
X-Men: Pierwsza klasa,United States/United Kingdom,7.7
Za wszelką cenę,United States,8.1
Spider-Man 2,United States,7.5
Legion Samobójców,United States,5.9
Czas Apokalipsy,United States,8.4
Iluzja,United States/France,7.2
Dystrykt 9,South Africa/United States/New Zealand/Canada,7.9
Drive,United States,7.8
Niesamowity Spider-Man,United States,6.9
Hobbit: Pustkowie Smauga,New Zealand/United States,7.8
Harry Potter i Komnata Tajemnic,United Kingdom/United States,7.4
Harry Potter i więzień Azkabanu,United Kingdom/United States,7.9
Spider-Man Uniwersum,Canada/United States,8.4
1917,United Kingdom/United States/India/Spain/Canada,8.2
Labirynt fauna,Mexico/Spain,8.2
Jak zostać królem,United States/United Kingdom,8.0
Ciekawy przypadek Benjamina Buttona,United States,7.8
Wonder Woman,United States/China/Hong Kong,7.3
Piraci z Karaibów: Na krańcu świata,United States,7.1
Casino Royale,United States/United Kingdom/Germany/Bahamas,8.0
La La Land,United States/Hong Kong,8.0
Harry Potter i Czara Ognia,United Kingdom/United States,7.7
Dzień Świstaka,United States,8.0
Łotr 1. Gwiezdne wojny - historie,United States,7.8
Blade Runner 2049,United States/Canada/Spain,8.0
Deadpool 2,United States/Canada,7.6
Jurassic World,United States/Canada,6.9
Ona,United States,8.0
Transformers,United States,7.1
Kevin sam w domu,United States,7.7
Gwiezdne wojny: Ostatni Jedi,United States,6.9
Szczęki,United States,8.1
Nienawistna ósemka,United States,7.8
Sherlock Holmes,United States/Germany,7.6
Kraina lodu,United States,7.4
Życie Pi,United States/United Kingdom/Canada/India/France,7.9
Birdman,United States,7.7
Ted,United States,6.9
Wszystko za życie,United States,8.1
Oldboy,,8.3
Prometeusz,United Kingdom/United States,7.0
X-Men,United States/Canada,7.3
Ultimatum Bourne'a,United States/Germany/France/Spain,8.0
Aż poleje się krew,United States,8.2
Spider-Man 3,United States,6.3
Harry Potter i Zakon Feniksa,United Kingdom/United States,7.5
Cast Away - poza światem,United States,7.8
12 małp,United States,8.0
Supersamiec,United States,7.6
Rocky,United States,8.1
Uprowadzona,France/United Kingdom/United States,7.7
Pamiętnik,United States,7.8
Operacja Argo,United Kingdom/United States,7.7
Matrix: Reaktywacja,United States,7.2
Baby Driver,United Kingdom/United States,7.5
Coco,United States/Mexico,8.4
Zombieland,United States,7.5
Ocean's Eleven: Ryzykowna gra,United States,7.7
Toy Story 2,United States,7.9
To,United States/Canada,7.3
Tajemnice Los Angeles,United States,8.2
Nie patrz w górę,United States/Canada,7.2
Faceci w czerni,United States,7.3
Kapitan Marvel,United States/Australia,6.8
Wolny strzelec,United States,7.8
Porachunki,United Kingdom/United States,8.1
Przełęcz ocalonych,United States,8.1
Zodiak,United States,7.7
Green Book,United States/China,8.2
Casablanca,United States,8.5
Star Trek,United States/Germany,7.9
Harry Potter i Insygnia Śmierci: Część I,United Kingdom/United States,7.7
Jestem Bogiem,United States,7.4
Tenet,United States/United Kingdom,7.3
Ciche miejsce,United States,7.5
Harry Potter i Książę Półkrwi,United Kingdom/United States,7.6
Dzień Niepodległości,United States,7.0
21 Jump Street,United States,7.2
Bohemian Rhapsody,United Kingdom/United States,7.9
Diuna: Część druga,United States/Canada/United Arab Emirates/Hungary/Italy/New Zealand/Jordan/Gambia,8.5
Wielki Gatsby,Australia/United States,7.2
Wysyp żywych trupów,United Kingdom/France/United States,7.9
Looper - Pętla czasu,United States/China,7.4
Ex machina,United Kingdom/United States,7.7
Kick-Ass,United Kingdom/United States,7.6
Jak ukraść Księżyc,United States/France,7.6
Krwawy diament,United States/Germany/United Kingdom,8.0
Barbie,United States/United Kingdom,6.8
Raport mniejszości,United States,7.6
Watchmen. Strażnicy,United States,7.6
X-Men 2,Canada/United States,7.4
Powrót do przyszłości II,United States,7.8
"Ja, robot",United States/Germany,7.1
Hobbit: Bitwa Pięciu Armii,New Zealand/United States,7.4
Tożsamość Bourne'a,United States/Germany,7.8
Spider-Man: Daleko od domu,United States/Australia/Canada/Italy,7.4
Geneza Planety Małp,United States/United Kingdom/Canada,7.6
Troja,United States/Bulgaria/United Kingdom/Malta,7.3
"Kocha, lubi, szanuje",United States,7.4
Kasyno,United States/France,8.2
W pogoni za szczęściem,United States,8.0
Split,United States/Japan,7.3
500 dni miłości,United States,7.7
Stowarzyszenie Umarłych Poetów,United States,8.1
Monty Python i Święty Graal,United Kingdom,8.2
Piraci z Karaibów: Na nieznanych wodach,United States/United Kingdom,6.6
Obecność,United States,7.5
"Trzy billboardy za Ebbing, Missouri",United Kingdom/United States,8.1
Wszystko wszędzie naraz,United States,7.8
Zwierzogród,United States,8.0
The Kashmir Files,India,8.5
Furia,China/United States,7.6
Venom,United States/China,6.6
Niepamięć,United States,7.0
Charlie,United States,7.9
Kod nieśmiertelności,United States/Canada/France/Germany,7.5
Pan i pani Smith,United States,6.5
Rain Man,United States,8.0
Juno,United States/Canada,7.4
Niesamowity Spider-Man 2,United States,6.6
Matrix: Rewolucje,United States/Australia,6.7
X-Men: Ostatni bastion,United States/United Kingdom/Canada,6.6
To właśnie miłość,United Kingdom/France/United States,7.6
Lucy,France/Germany/Canada,6.4
Kac Vegas w Bangkoku,United States,6.5
X-Men Geneza: Wolverine,United States/United Kingdom,6.5
Indiana Jones i Świątynia Zagłady,United States,7.5
Hot Fuzz. Ostre psy,United Kingdom/France/United States,7.8
Charlie i fabryka czekolady,United Kingdom/United States,6.7
Snajper,United States,7.3
Kung Fu Panda,United States,7.6
Ludzkie dzieci,United States/United Kingdom/Japan,7.9
Edward Nożycoręki,United States,7.9
Pacific Rim,United States/Mexico,6.9
Okno na podwórze,United States,8.5
Incredible Hulk,United States/Canada/Japan,6.6
Mission: Impossible - Ghost Protocol,United States/United Arab Emirates/Canada/India,7.4
Epoka lodowcowa,United States,7.5
Efekt motyla,United States/Canada,7.6
John Wick 2,United States/Italy/Hong Kong/Canada,7.4
Aquaman,United States,6.8
"Dr Strangelove, czyli jak przestałem się martwić i pokochałem bombę",United Kingdom/United States,8.3
Mała miss,United States,7.8
Witaj w klubie,United States,7.9
Więzień labiryntu,United States/United Kingdom,6.8
Wyścig,United Kingdom/United States,8.1
Avatar: Istota wody,United States,7.5
Shrek 2,United States,7.4
Wielka Szóstka,United States,7.8
Hancock,United States,6.4
To wspaniałe życie,United States,8.6
Piąty element,France/United Kingdom,7.6
Top Gun,United States,7.0
Fantastyczne zwierzęta i jak je znaleźć,United Kingdom/United States/Canada,7.2
Igrzyska śmierci: Kosogłos. Część 1,United States/Canada/France,6.6
Zaplątani,United States/Japan,7.7
Le Mans '66,United States,8.1
Spotlight,United States,8.1
Gwiezdne wojny: Skywalker. Odrodzenie,United States/United Kingdom,6.4
Player One,United States/India/Singapore/Canada/United Kingdom/Japan/Australia,7.4
Wojownik,United States,8.1
Terminal,United States,7.4
Dziewczyna z tatuażem,Sweden/United States,7.8
Doktor Strange w multiwersum obłędu,United States,6.9
Służące,United States/India,8.1
Wolverine,United States/United Kingdom/Japan,6.7
Między słowami,United States/Japan,7.7
American Hustle,United States/China,7.2
Big Short,United States,7.8
Kapitan Phillips,United States,7.8
Sicario,United States/Mexico/Hong Kong,7.7
Millerowie,United States/United Kingdom,7.0
Zmierzch,United States/United Kingdom,5.3
Niezgodna,United States,6.6
W ciemność. Star Trek,United States,7.7
Rzeka tajemnic,United States/Australia,7.9
Indiana Jones i Królestwo Kryształowej Czaszki,United States,6.2
Auta,United States,7.3
Krucjata Bourne'a,United States/Germany/India,7.7
Ewolucja Planety Małp,United States/United Kingdom/Canada,7.6
Powrót do przyszłości III,United States,7.5
Diabeł ubiera się u Prady,United States/France,6.9
Teoria wszystkiego,United Kingdom/Japan/United States,7.7
Pojutrze,United States,6.5
Coś,United States/Canada,8.2
Dzień próby,United States,7.8
Piękna i Bestia,United States/Japan,8.0
Sherlock Holmes: Gra cieni,United States,7.4
Liga Sprawiedliwości,United States/Canada/United Kingdom,6.0
Wojna światów,United States,6.5
Bullet Train,United States/Japan,7.3
Piła,United States,7.6
Ostatni samuraj,United States/New Zealand/Japan,7.8
Gangi Nowego Jorku,United States/Italy,7.5
Mission: Impossible,United States,7.2
Deadpool & Wolverine,United States/United Kingdom/New Zealand/Canada,7.6
Aladyn,United States,8.0
Moneyball,United States,7.6
40-letni prawiczek,United States,7.1
The Hurt Locker. W pułapce wojny,United States/Luxembourg/Canada,7.5
Quantum of Solace,United Kingdom/United States/Italy,6.5
Elizjum,United States/Canada,6.6
Mumia,United States,7.1
Scott Pilgrim kontra świat,United States/United Kingdom/Canada/Japan,7.5
Ruchomy zamek Hauru,Japan/United States,8.2
Obywatel Kane,United States,8.3
Spectre,United Kingdom/United States/Morocco/Italy/Austria/Canada/Mexico,6.8
Szefowie wrogowie,United States,6.9
"Najpierw strzelaj, potem zwiedzaj",United Kingdom/United States,7.9
Ralph Demolka,United States,7.7
X-Men: Apocalypse,United States,6.8
Jumanji: Przygoda w dżungli,United States/Australia/Canada/Mexico/India/United Kingdom,7.0
Egzorcysta,United States,8.1
Predator,United States/Mexico,7.8
Glass Onion: Film z serii 'Na noże',United States,7.1
Pasażerowie,Hong Kong/Australia/United States,7.0
28 dni później,United Kingdom/United States,7.5
Kod da Vinci,United States/Malta/France/United Kingdom,6.6
Dom w głębi lasu,Canada/United States,7.0
Amerykański gangster,United States/United Kingdom,7.8
Ant-Man i Osa,United States/Canada,7.0
Pogromcy duchów,United States,7.8
Duża ryba,United States,8.0
Pokój,Ireland/Canada/United Kingdom/United States,8.1
Jaja w tropikach,United States/United Kingdom/Germany,7.1
Wyścig z czasem,United States,6.7
Jojo Rabbit,New Zealand/United States/Germany,7.9
Armageddon,United States,6.7
Narzeczona dla księcia,United States,8.0
Nie czas umierać,United Kingdom/United States,7.3
Stań przy mnie,United States,8.1
O północy w Paryżu,Spain/United States/France,7.6
Shang-Chi i legenda dziesięciu pierścieni,United States,7.3
Merida Waleczna,United States/Japan/United Kingdom,7.1
Kształt wody,United States/Mexico,7.3
Free Guy,United States/Canada,7.1
Wredne dziewczyny,United States/Canada,7.1
"Borat: Podpatrzone w Ameryce, aby Kazachstan rósł w siłę, a ludzie żyli dostatniej",United States/United Kingdom,7.4
King Kong,United States/New Zealand/Germany,7.2
Zaginiony świat: Jurassic Park,United States,6.6
Księżniczka Mononoke,Japan,8.3
Madagaskar,United States/Canada/United Kingdom,6.9
Trzej idioci,India,8.4
Niezniszczalny,United States,7.3
Miasto gniewu,United States/Germany,7.7
Klub winowajców,United States,7.8
Pluton,United States/United Kingdom,8.1
Liga Sprawiedliwości Zacka Snydera,United States,7.9
Alicja w Krainie Czarów,United States/Italy/Canada/Japan/United Kingdom,6.4
Godzilla,United States/Japan,6.4
Bez przebaczenia,United States,8.2
E.T.,United States,7.9
Irlandczyk,United States,7.8
Bruce Wszechmogący,United States,6.8
John Wick 3,United States/Morocco/Ukraine/Italy,7.4
Gra,United States,7.7
Menu,United States,7.2
American Pie,United States,7.0
Czarnoksiężnik z Oz,United States,8.1
Czarna Wdowa,United States,6.6
Zakładnik,United States,7.5
Amadeusz,United States/France,8.4
Spider-Man: Poprzez multiwersum,United States,8.5
Midsommar. W biały dzień,United States/Sweden,7.1
Maska,United States,7.0
To już jest koniec,United States,6.6
Zawrót głowy,United States,8.3
Transformers 3,United States/Hong Kong/Cambodia/United Kingdom,6.2
Bez litości,United States,7.3
Minionki rozrabiają,United States/France,7.3
"Opowieści z Narnii: Lew, czarownica i stara szafa",United Kingdom/United States,6.9
Transformers: Zemsta upadłych,United States/Jordan/United Kingdom,6.0
Helikopter w ogniu,United States/United Kingdom,7.7
Ojciec chrzestny III,United States,7.6
Szybcy i wściekli,United States/Germany,6.8
Narodziny gwiazdy,United States,7.6
Projekt: Monster,United States,7.0
Dżentelmeni,United States/United Kingdom,7.8
Legion Samobójców: The Suicide Squad,United States,7.2
Łatwa dziewczyna,United States,7.0
Thor: Miłość i grom,Australia/United States,6.2
Miasto złodziei,United States/United Kingdom,7.5
Szklana pułapka 4.0,United States/United Kingdom,7.1
Żywot Briana,United Kingdom,8.0
Mechanik,Spain,7.6
Szybcy i wściekli 6,United States/Japan/Spain/Hong Kong,7.0
Terminator 3: Bunt maszyn,United Kingdom/Germany/United States,6.3
Głupi i głupszy,United States,7.3
Kevin sam w Nowym Jorku,United States,6.9
Życie na podsłuchu,Germany/France,8.4
Szybcy i wściekli 7,United States/China/Japan/Canada/United Arab Emirates,7.1
Ocean's Twelve: Dogrywka,United States,6.5
Strażnicy Galaktyki vol. 3,United States/New Zealand/France/Canada,7.9
Mission: Impossible - Rogue Nation,United States/China/United Kingdom/Austria/Morocco/Hong Kong,7.4
22 Jump Street,United States,7.0
Adwokat diabła,United States,7.5
Szklana pułapka 3,United States,7.6
Szybcy i wściekli 5,United States/Japan/Brazil,7.3
Wanted: Ścigani,United States/Germany,6.7
Batman,United States/United Kingdom,7.5
Faceci w czerni II,United States,6.2
Dziedzictwo. Hereditary,United States,7.3
Zakochana złośnica,United States,7.3
Krzyk,United States,7.4
Gwiazd naszych wina,United States,7.6
Bez twarzy,United States,7.3
127 godzin,United Kingdom/United States/France,7.5
Vaiana: Skarb oceanu,United States,7.6
Czarownica,United States/Canada/United Kingdom,6.9
Plan doskonały,United States,7.6
Czas na miłość,United States/United Kingdom,7.8
2012,United States,5.8
Inni,Spain/France/United States,7.6
To tylko seks,United States,6.5
Uniwersytet Potworny,United States/Japan,7.2
Speed - niebezpieczna szybkość,United States,7.3
Eternals,United States,6.2
Co w duszy gra,United States,8.0
Snowpiercer: Arka przyszłości,,7.1
Mulholland Drive,France/United States,7.9
Nie otwieraj oczu,United States,6.6
Mój sąsiad Totoro,Japan,8.1
Mission: Impossible III,United States/Germany/China/Italy,6.9
Człowiek w ogniu,Switzerland/United Kingdom/United States/Mexico,7.7
Sok z żuka,United States,7.5
Wolny dzień Ferrisa Buellera,United States,7.8
LEGO® PRZYGODA,United States/Denmark/Australia/Norway,7.7
Znaki,United States,6.8
Tajemnica Brokeback Mountain,Canada/United States,7.7
Faceci w czerni 3,United Arab Emirates/United States,6.8
Shazam!,United States/Canada,7.0
Fighter,United States,7.8
Włoska robota,United States/Italy/United Kingdom/Germany/France,7.0
Jeździec bez głowy,United States/Germany/United Kingdom,7.3
Oczy szeroko zamknięte,United Kingdom/United States,7.5
50 pierwszych randek,United States,6.8
Sweeney Todd: Demoniczny golibroda z Fleet Street,United States/United Kingdom,7.3
Iluzjonista,United States,7.5
Szklana pułapka 2,United States,7.1
Wściekły byk,United States,8.1
Miasteczko Halloween,United States,7.9
Aviator,United States/Germany,7.5
Jestem na tak,United States/United Kingdom,6.8
Jumanji,United States,7.1
Dawno temu w Ameryce,Italy/United States,8.3
Mission: Impossible - Fallout,United States/China/France/Norway,7.7
Nice Guys. Równi goście,United States,7.4
Han Solo. Gwiezdne wojny - historie,United States,6.9
Noc w muzeum,United States/United Kingdom,6.5
Wpadka,United States,6.9
Igrzyska śmierci: Kosogłos. Część 2,United States/Germany/Canada/France,6.6
Constantine,United States/Germany,7.0
Mission: Impossible 2,United States/Germany/Australia,6.1
Legenda telewizji,United States,7.1
Jackie Brown,United States,7.5
The Ring,United States/Japan,7.1
Upadek,Germany/Austria/Italy,8.2
Polowanie na druhny,United States,7.0
Lot,United States/United Arab Emirates,7.3
Polowanie,Denmark/Sweden/Belgium/France,8.3
Moon,United Kingdom/United States,7.8
Terminator - Ocalenie,United States,6.5
Pretty Woman,United States,7.1
Kingsman: Złoty krąg,United Kingdom/United States/Italy,6.7
Hotel Ruanda,United States/United Kingdom/South Africa/Italy,8.1
Siedmiu samurajów,Japan,8.6
Atlas chmur,United States/Germany/Hong Kong/Singapore/China/United Kingdom/Spain,7.4
Jak wytresować smoka 2,United States/India,7.8
Narzeczony mimo woli,United States,6.8
Jack Reacher: Jednym strzałem,United States,7.0
Anihilacja,United States/United Kingdom,6.8
Ocean's 13,United States,6.9
Boyhood,United States,7.9
Łowca jeleni,United States/United Kingdom,8.1
Kochankowie z Księżyca. Moonrise Kingdom,United States,7.8
Super 8,United States,7.0
John Wick 4,United States/Germany,7.6
Wielki Mike,United States,7.6
Niezniszczalni,United States/Bulgaria/Spain/Germany,6.4
"Klik: I robisz, co chcesz",United States,6.4
Cloverfield Lane 10,United States,7.2
Giganci ze stali,United States/India,7.1
Twierdza,United States,7.4
Poznaj mojego tatę,United States,7.0
Pamięć absolutna,United States/Mexico,7.5
Pewnego razu na Dzikim Zachodzie,Italy/United States,8.5
Skarb narodów,United States,6.9
Prawdziwe męstwo,United States,7.6
Wywiad ze słońcem narodu,United States,6.5
Strzelec,United States,7.1
Zanim odejdą wody,United States,6.5
Boski chillout,United States,6.9
Tron: Dziedzictwo,United States/India/United Kingdom/Mexico/Japan/Canada,6.8
Piraci z Karaibów: Zemsta Salazara,United States/Australia/United Kingdom/Canada,6.5
To my,United States/China/Japan,6.8
Chinatown,United States,8.1
Notting Hill,United Kingdom/United States,7.2
Tajne przez poufne,United States/United Kingdom/France,7.0
Kong: Wyspa Czaszki,United States/China/Canada/Germany/United Kingdom/Singapore/India/Australia,6.7
Być jak John Malkovich,United States,7.7
Wywiad z wampirem,United States,7.5
Pearl Harbor,United States,6.2
Hellboy,United States,6.9
Historia małżeńska,United Kingdom/United States,7.9
Północ - północny zachód,United States,8.3
Jurassic World: Upadłe królestwo,United States/China,6.1
Przed wschodem słońca,United States/Austria,8.1
Simpsonowie: Wersja kinowa,United States,7.3
Mgła,United States,7.1
Mumia powraca,United States/Morocco/United Kingdom/Jordan,6.4
W chmurach,United States,7.4
Fantastyczna Czwórka,Germany/United States/Canada,5.7
Equilibrium,United States,7.3
Sekretne życie Waltera Mitty,United States/United Kingdom,7.3
Les misérables: Nędznicy,United Kingdom/United States,7.5
Od zmierzchu do świtu,United States/Mexico,7.2
Twoje imię.,Japan,8.4
Naznaczony,United States/Canada,6.8
Jurassic Park III,United States,5.9
Księga ocalenia,United States,6.8
Lady Bird,United States,7.4
Iniemamocni 2,United States/Japan,7.5
Duma i uprzedzenie,United Kingdom/France/United States,7.8
Dyktator,United States,6.5
Zapach kobiety,United States,8.0
"Kłamca, kłamca",United States,6.9
Pan życia i śmierci,Germany/United States/France,7.6
Pół na pół,United States,7.6
Nikt,United States/Japan/China,7.4
Kac Vegas 3,United States,5.8
Holiday,United States,7.0
Piękna i Bestia,United States,7.1
Shrek Trzeci,United States,6.1
Kryptonim U.N.C.L.E.,United Kingdom/United States,7.2
Pięćdziesiąt twarzy Greya,United States,4.2
Przeminęło z wiatrem,United States,8.2
Grobowiec świetlików,Japan,8.5
Apocalypto,United States/Mexico,7.8
Szkoła rocka,United States/Germany,7.2
Donnie Brasco,United States,7.7
Hugo i jego wynalazek,United States/United Kingdom,7.5
Zabić drozda,United States,8.3
3:10 do Yumy,United States,7.6
Nietykalni,United States,7.8
Hitch: Najlepszy doradca przeciętnego faceta,United States,6.6
Księgowy,United States,7.3
Moonlight,United States,7.4
"Bracie, gdzie jesteś?",United Kingdom/France/United States,7.7
Transformers: Wiek zagłady,United States/China/Hong Kong,5.6
Pitch Perfect,United States,7.1
Obcy 3,United Kingdom/United States,6.4
Powrót Batmana,United States/United Kingdom,7.1
Sposób na blondynkę,United States,7.1
Ace Ventura: Psi detektyw,United States,6.9
"Tamte dni, tamte noce",Brazil/France/Italy/United States,7.8
Czerwona nota,United States/United Kingdom/Singapore/Italy/Thailand/Canada,6.3
Kung Fu Panda 2,United States/Canada,7.3
Sąsiedzi,United States,6.3
Biedne istoty,Ireland/United Kingdom/United States/Hungary,7.8
Magnolia,United States,8.0
Salt,United States,6.5
8. mila,United States/Germany,7.2
Deja Vu,United States/United Kingdom,7.1
Iluzja 2,United States/Hong Kong,6.4
Most szpiegów,United States/India/Germany,7.6
Gattaca - szok przyszłości,United States,7.7
Wyspa,United States,6.8
Żołnierze kosmosu,United States,7.3
Nieoszlifowane diamenty,United States,7.4
Prawo zemsty,United States,7.4
Zabójczy numer,United Kingdom/Germany/Canada/United States,7.7
Królestwo niebieskie,United Kingdom/Germany/Spain/Morocco/United States/Italy/France,7.3
Ścigany,United States,7.8
RED,United States,7.0
Manchester by the Sea,United States,7.8
Jumper,Canada/United States,6.1
A.I. Sztuczna inteligencja,United States/United Kingdom,7.2
Mulan,United States,7.7
Uprowadzona 2,France/United States/United Kingdom,6.2
Bracia przyrodni,United States,6.9
Czarownica: Bajka ludowa z Nowej Anglii,United States/Canada/United Kingdom,7.0
Wróg numer 1,United States/India/Jordan,7.4
Transporter,France/United States,6.8
Con Air - lot skazańców,United States,6.9
Król rozrywki,United States/China,7.5
Elf,United States,7.1
Bezsenność,United States/United Kingdom,7.2
Obcy: Przymierze,United Kingdom/United States,6.4
