"Label (Grouping)","Alabama!!Estimate","Alaska!!Estimate","Arizona!!Estimate","Arkansas!!Estimate","California!!Estimate","Colorado!!Estimate","Connecticut!!Estimate","Delaware!!Estimate","District of Columbia!!Estimate","Florida!!Estimate","Georgia!!Estimate","Hawaii!!Estimate","Idaho!!Estimate","Illinois!!Estimate","Indiana!!Estimate","Iowa!!Estimate","Kansas!!Estimate","Kentucky!!Estimate","Louisiana!!Estimate","Maine!!Estimate","Maryland!!Estimate","Massachusetts!!Estimate","Michigan!!Estimate","Minnesota!!Estimate","Mississippi!!Estimate","Missouri!!Estimate","Montana!!Estimate","Nebraska!!Estimate","Nevada!!Estimate","New Hampshire!!Estimate","New Jersey!!Estimate","New Mexico!!Estimate","New York!!Estimate","North Carolina!!Estimate","North Dakota!!Estimate","Ohio!!Estimate","Oklahoma!!Estimate","Oregon!!Estimate","Pennsylvania!!Estimate","Rhode Island!!Estimate","South Carolina!!Estimate","South Dakota!!Estimate","Tennessee!!Estimate","Texas!!Estimate","Utah!!Estimate","Vermont!!Estimate","Virginia!!Estimate","Washington!!Estimate","West Virginia!!Estimate","Wisconsin!!Estimate","Wyoming!!Estimate","Puerto Rico!!Estimate"
"                Chamorro","374","454","2,767","113","21,545","2,032","190","71","54","2,834","2,240","2,828","570","587","335","400","336","1,146","603","85","762","550","464","314","302","884","23","472","3,621","222","813","338","1,180","1,981","148","450","466","1,801","720","387","892","200","795","7,085","873","0","1,803","10,639","24","471","104","0"
"                Samoan","113","6,721","1,609","599","35,980","1,096","270","86","12","1,413","669","13,982","245","817","231","191","341","346","391","45","336","298","509","335","132","2,524","126","76","4,331","77","430","189","925","863","134","601","410","1,816","386","37","197","45","700","4,016","8,808","6","884","15,767","68","394","3","30"
"                Other Pacific Islander","361","2,266","5,201","9,438","66,890","2,491","443","161","118","5,842","2,085","42,930","1,003","1,547","970","3,107","1,223","1,613","527","47","960","564","1,123","1,048","508","3,378","254","240","5,262","46","1,338","393","3,809","2,031","433","1,734","4,644","9,712","1,738","161","1,974","378","1,370","7,824","17,429","70","1,185","17,180","336","1,429","112","192"
"            Some other race","86,013","14,254","490,290","87,626","6,036,865","258,867","215,605","28,095","32,484","866,158","334,875","23,633","77,835","795,980","167,683","46,711","88,787","51,365","79,627","6,800","326,831","318,785","142,181","120,011","38,053","84,084","10,155","60,041","345,215","11,258","675,022","204,742","1,808,007","372,381","10,002","141,320","118,507","158,743","350,618","66,575","109,896","8,714","123,978","2,019,394","168,048","3,123","265,361","378,956","9,562","130,363","13,317","714,904"
"        Two or more races","155,315","73,946","735,021","159,103","4,235,217","478,070","227,267","49,512","38,857","2,001,725","514,903","355,014","103,310","749,100","287,953","123,765","179,456","158,878","177,641","46,901","331,775","451,680","463,369","258,882","69,989","279,528","48,359","100,214","315,256","50,890","617,270","261,464","1,200,713","500,458","29,799","502,392","393,387","325,612","555,201","71,968","201,774","38,519","261,593","3,152,085","182,358","21,622","503,340","655,594","55,463","259,477","28,437","561,153"
"            White and Black or African American","39,236","6,997","71,036","26,533","307,416","51,239","47,610","16,131","8,239","244,135","121,105","6,859","8,130","117,431","92,316","34,765","41,231","57,680","48,555","6,986","82,091","86,974","128,477","67,329","22,673","71,079","4,013","21,160","37,378","8,819","89,782","12,769","208,380","125,941","4,577","193,796","47,619","36,616","164,463","12,076","61,546","4,993","74,136","247,333","15,417","3,450","124,242","93,950","18,631","59,547","3,635","117,229"
"            White and American Indian and Alaska Native","34,892","31,419","70,844","39,530","291,815","58,286","13,318","3,566","1,404","89,438","46,819","8,506","19,401","47,878","35,534","15,028","33,594","22,832","25,342","13,726","21,223","21,718","72,236","44,363","10,463","51,315","19,766","12,953","20,666","7,956","19,932","23,284","58,494","57,370","11,900","55,763","200,897","71,225","39,423","4,811","24,657","15,417","40,920","168,796","20,001","5,624","37,228","101,356","11,211","39,401","6,567","591"
"            White and Asian","16,138","10,054","64,049","10,595","626,493","55,997","23,948","4,420","6,874","112,808","51,986","77,776","15,188","90,306","29,416","15,834","17,521","16,086","15,310","7,562","54,090","59,660","62,592","43,081","7,369","32,089","5,711","11,402","42,940","10,281","64,967","10,987","138,184","49,411","3,511","59,132","20,036","56,177","66,968","6,744","21,125","3,158","27,486","162,898","31,412","4,292","90,607","146,511","4,916","33,686","3,283","718"
"            Black or African American and American Indian and Alaska Native","5,378","1,771","7,691","2,801","34,944","4,497","4,595","1,883","2,435","13,747","14,059","1,113","176","8,601","3,198","1,584","3,221","2,599","6,405","238","12,163","6,288","11,844","4,364","2,170","5,728","742","1,369","3,487","189","8,122","2,431","21,901","19,567","353","12,270","17,061","1,212","11,985","1,326","6,010","779","4,689","22,496","889","405","12,674","7,323","480","3,374","53","1,378"
"Race alone or in combination with one or more other races","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,997,675","735,951","7,079,203","3,006,309","39,455,353","5,723,176","3,605,330","981,892","683,154","21,339,762","10,625,615","1,453,498","1,811,617","12,821,813","6,751,340","3,179,090","2,932,099","4,494,141","4,657,305","1,357,046","6,148,545","6,991,852","10,062,512","5,670,472","2,967,023","6,141,534","1,077,978","1,951,480","3,059,238","1,372,175","9,234,024","2,109,366","20,114,745","10,367,022","773,344","11,769,923","3,948,136","4,207,177","12,970,650","1,091,949","5,078,903","881,785","6,859,497","28,862,581","3,231,370","641,637","8,582,479","7,617,364","1,801,049","5,871,661","576,641","3,311,274"
"        White","3,479,535","525,009","5,675,246","2,378,184","24,407,973","4,958,578","2,796,534","687,652","308,625","16,318,319","6,377,771","615,223","1,667,757","9,393,994","5,753,102","2,912,885","2,556,974","3,992,085","2,965,411","1,306,423","3,519,130","5,600,435","8,147,744","4,818,641","1,765,396","5,194,182","984,510","1,724,781","2,081,369","1,297,158","6,328,553","1,612,464","13,172,752","7,310,440","685,097","9,839,507","3,119,450","3,704,064","10,649,066","900,854","3,517,786","764,992","5,441,228","21,574,802","2,875,805","616,685","6,024,697","6,071,221","1,711,296","5,138,945","538,720","2,209,048"
"        Black or African American","1,381,411","37,173","431,870","494,417","2,827,328","315,923","471,249","241,074","322,235","3,774,605","3,552,354","53,159","22,668","1,979,083","749,882","162,585","220,038","433,820","1,559,830","28,996","1,983,397","687,742","1,543,275","468,058","1,144,089","790,411","12,132","120,992","350,048","34,370","1,398,406","66,667","3,516,877","2,392,313","30,520","1,703,313","369,304","129,985","1,671,496","95,965","1,413,250","27,202","1,229,561","3,902,797","63,920","13,457","1,826,176","440,529","83,969","450,846","10,089","539,396"
"        American Indian and Alaska Native","68,630","148,918","413,837","64,805","920,261","143,399","38,241","10,981","8,712","206,539","127,492","34,910","47,870","130,460","59,943","32,815","67,761","38,815","66,958","23,381","73,341","59,748","152,454","114,778","29,230","88,968","88,093","36,992","75,179","11,567","77,404","239,040","234,614","217,203","52,961","108,909","545,381","139,496","99,345","14,451","54,549","91,514","70,338","428,337","64,425","8,470","101,008","237,274","15,656","97,998","21,142","42,626"
"        Asian","93,041","64,667","330,068","61,601","6,847,247","259,198","201,210","47,423","37,986","782,929","534,717","818,123","44,783","847,986","203,251","100,176","112,323","90,545","102,530","23,956","479,967","559,246","401,613","339,054","40,313","165,575","16,591","64,180","329,669","48,622","1,002,672","51,047","1,962,674","390,139","16,687","357,647","119,454","265,718","555,182","46,695","113,685","16,983","162,434","1,705,370","118,986","15,767","705,351","888,309","20,195","208,336","9,452","9,087"
"        Native Hawaiian and Other Pacific Islander","5,832","16,413","33,431","13,594","333,632","22,207","6,454","1,516","1,205","41,423","20,632","382,273","7,831","16,337","7,964","6,994","6,372","6,910","5,216","1,450","11,319","10,685","11,037","8,496","3,405","14,660","2,913","3,873","45,785","1,707","12,782","4,873","34,708","20,145","1,987","16,395","12,662","37,159","15,768","2,287","8,866","1,718","12,067","63,037","52,444","564","19,226","99,061","2,138","7,224","1,427","822"
"        Some other race","135,130","25,853","975,548","160,097","8,703,265","539,195","339,032","46,928","48,560","2,325,691","571,219","57,997","130,858","1,246,150","280,827","94,966","161,254","101,442","149,426","22,568","450,540","576,287","301,969","200,119","59,369","185,783","24,868","106,730","519,881","32,333","1,075,527","410,279","2,501,297","578,504","17,862","285,554","202,494","289,198","583,126","110,307","184,951","20,378","221,464","4,475,828","256,769","9,581","456,621","604,365","26,519","241,951","26,387","1,148,672"
"HISPANIC OR LATINO AND RACE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","4,997,675","735,951","7,079,203","3,006,309","39,455,353","5,723,176","3,605,330","981,892","683,154","21,339,762","10,625,615","1,453,498","1,811,617","12,821,813","6,751,340","3,179,090","2,932,099","4,494,141","4,657,305","1,357,046","6,148,545","6,991,852","10,062,512","5,670,472","2,967,023","6,141,534","1,077,978","1,951,480","3,059,238","1,372,175","9,234,024","2,109,366","20,114,745","10,367,022","773,344","11,769,923","3,948,136","4,207,177","12,970,650","1,091,949","5,078,903","881,785","6,859,497","28,862,581","3,231,370","641,637","8,582,479","7,617,364","1,801,049","5,871,661","576,641","3,311,274"
"        Hispanic or Latino (of any race)","224,659","53,604","2,257,429","236,001","15,593,787","1,254,636","610,065","95,278","76,982","5,593,090","1,048,474","158,741","234,561","2,250,076","494,408","203,048","362,053","174,359","248,782","24,526","650,357","864,202","540,036","319,828","95,643","271,566","43,877","224,693","897,415","55,915","1,924,503","1,046,411","3,871,753","1,016,730","31,926","480,347","443,914","570,511","1,023,055","178,673","306,230","37,618","395,967","11,479,932","465,832","13,368","840,248","1,007,881","30,196","424,598","59,185","3,270,361"
"            Mexican","131,817","27,834","1,962,216","168,601","12,745,942","905,922","63,513","35,568","13,102","724,282","567,527","51,074","194,331","1,753,117","348,747","153,450","292,037","92,293","85,719","7,638","102,581","48,495","380,103","207,539","54,418","176,642","29,758","161,377","670,146","10,183","223,440","682,606","481,280","545,167","19,885","212,054","351,420","456,619","166,899","11,621","153,251","21,638","228,525","9,605,740","326,764","3,975","190,142","782,899","10,720","297,788","45,277","7,900"
"            Puerto Rican","23,911","7,739","51,651","8,302","230,981","37,631","298,272","28,396","6,203","1,186,681","114,013","53,050","6,356","204,867","47,024","8,968","14,402","17,865","14,469","5,901","61,144","332,682","50,931","17,005","10,096","19,702","2,054","7,009","29,605","18,359","483,170","10,666","1,090,033","118,113","3,684","137,966","16,068","15,171","479,824","47,087","40,775","3,054","34,421","228,286","12,716","2,250","108,327","39,291","6,250","63,813","1,232","3,163,894"
"            Cuban","6,998","2,088","18,063","2,755","108,567","13,393","14,015","1,252","3,182","1,534,465","37,752","1,919","1,250","28,637","6,631","2,890","4,189","20,284","12,231","1,327","14,821","16,354","15,142","6,703","3,207","7,670","866","5,395","34,862","2,302","97,261","5,206","82,308","29,624","278","10,859","3,335","8,142","24,878","2,020","10,534","754","13,799","104,081","3,830","792","22,602","11,637","1,238","6,571","220","12,216"
"            Other Hispanic or Latino","61,933","15,943","225,499","56,343","2,508,297","297,690","234,265","30,062","54,495","2,147,662","329,182","52,698","32,624","263,455","92,006","37,740","51,425","43,917","136,363","9,660","471,811","466,671","93,860","88,581","27,922","67,552","11,199","50,912","162,802","25,071","1,120,632","347,933","2,218,132","323,826","8,079","119,468","73,091","90,579","351,454","117,945","101,670","12,172","119,222","1,541,825","122,522","6,351","519,177","174,054","11,988","56,426","12,456","86,351"
"        Not Hispanic or Latino","4,773,016","682,347","4,821,774","2,770,308","23,861,566","4,468,540","2,995,265","886,614","606,172","15,746,672","9,577,141","1,294,757","1,577,056","10,571,737","6,256,932","2,976,042","2,570,046","4,319,782","4,408,523","1,332,520","5,498,188","6,127,650","9,522,476","5,350,644","2,871,380","5,869,968","1,034,101","1,726,787","2,161,823","1,316,260","7,309,521","1,062,955","16,242,992","9,350,292","741,418","11,289,576","3,504,222","3,636,666","11,947,595","913,276","4,772,673","844,167","6,463,530","17,382,649","2,765,538","628,269","7,742,231","6,609,483","1,770,853","5,447,063","517,456","40,913"
"            White alone","3,241,003","434,515","3,781,665","2,123,715","14,109,297","3,821,828","2,340,848","597,040","250,396","11,217,187","5,462,673","310,216","1,459,942","7,721,282","5,255,601","2,681,793","2,192,497","3,759,079","2,693,832","1,248,581","3,035,807","4,871,674","7,448,438","4,441,935","1,661,874","4,800,763","916,991","1,515,645","1,442,883","1,220,505","4,966,842","759,917","10,993,176","6,433,921","642,956","9,152,826","2,533,380","3,116,280","9,734,303","770,700","3,206,780","712,735","5,002,855","11,745,032","2,497,463","589,575","5,200,759","5,063,850","1,643,042","4,705,965","478,508","28,414"
"            Black or African American alone","1,316,314","22,787","299,877","455,748","2,128,184","222,572","359,156","211,387","299,716","3,223,893","3,309,398","26,521","11,392","1,773,138","625,756","116,206","159,382","356,610","1,475,549","18,834","1,806,220","467,943","1,351,051","371,249","1,109,577","689,839","5,339","91,326","273,070","18,705","1,158,820","37,848","2,797,225","2,160,554","23,887","1,432,646","278,454","74,010","1,360,025","59,203","1,319,130","18,736","1,120,548","3,401,742","35,281","7,643","1,601,041","283,174","60,339","364,446","4,811","3,698"
"            American Indian and Alaska Native alone","17,417","104,399","256,947","13,665","124,341","26,070","4,225","2,084","1,003","31,002","13,866","2,326","17,174","10,358","6,863","7,337","15,363","4,877","21,492","6,953","9,657","7,977","39,462","46,371","11,587","15,275","62,967","13,017","23,229","1,452","8,873","180,121","40,379","98,911","37,016","11,239","285,097","32,890","9,708","2,968","11,355","70,363","10,292","55,658","26,012","1,152","13,983","69,496","1,786","39,457","11,330","124"
"            Asian alone","69,331","46,455","228,292","45,575","5,802,086","180,192","165,872","39,398","27,522","585,096","444,677","534,056","23,902","718,559","162,123","78,532","86,670","68,112","79,562","14,789","394,720","477,667","319,960","281,572","28,758","122,395","8,802","47,885","249,400","36,507","894,646","31,382","1,723,110","312,111","12,231","274,662","87,388","184,235","457,712","37,153","82,488","12,579","124,495","1,433,683","74,090","10,630","573,860","675,966","13,763","165,139","4,907","2,316"
"            Native Hawaiian and Other Pacific Islander alone","1,594","10,500","12,623","10,408","134,692","7,357","761","299","297","10,749","5,254","142,973","2,519","3,048","1,982","3,920","1,784","3,340","2,017","188","2,102","1,910","2,546","2,047","993","7,851","565","980","19,821","402","2,196","1,145","5,024","6,060","1,180","3,407","6,155","16,380","2,763","539","4,324","700","3,518","21,282","28,407","147","4,423","49,088","660","2,395","397","0"
"            Some other race alone","12,504","3,589","18,441","6,267","149,096","18,010","18,819","3,662","3,606","102,728","44,958","3,230","6,507","34,562","19,449","5,069","6,941","10,256","16,965","3,296","27,751","65,840","27,336","17,042","6,743","16,775","2,506","3,899","13,613","2,921","52,524","6,663","140,335","33,426","1,591","32,171","9,148","13,684","39,283","8,033","15,252","1,393","19,258","72,621","8,841","1,208","32,689","29,227","4,426","12,531","1,582","3,800"
"            Two or more races","114,853","60,102","223,929","114,930","1,413,870","192,511","105,584","32,744","23,632","576,017","296,315","275,435","55,620","310,790","185,158","83,185","107,409","117,508","119,106","39,879","221,931","234,639","333,683","190,428","51,848","217,070","36,931","54,035","139,807","35,768","225,620","45,879","543,743","305,309","22,557","382,625","304,600","199,187","343,801","34,680","133,344","27,661","182,564","652,631","95,444","17,914","315,476","438,682","46,837","157,130","15,921","2,561"
"                Two races including Some other race","12,446","3,352","25,540","33,201","146,794","32,189","23,005","3,397","3,155","120,318","37,953","3,662","11,458","42,791","20,447","12,570","9,899","11,790","15,162","9,778","28,181","74,257","47,456","22,168","5,151","46,229","5,728","5,420","17,122","7,912","49,948","6,332","126,787","30,441","2,912","44,709","12,453","26,700","54,750","9,229","12,780","2,839","25,706","81,120","11,817","3,322","30,671","42,065","9,563","21,262","2,630","622"
"                Two races excluding Some other race, and Three or more races","102,407","56,750","198,389","81,729","1,267,076","160,322","82,579","29,347","20,477","455,699","258,362","271,773","44,162","267,999","164,711","70,615","97,510","105,718","103,944","30,101","193,750","160,382","286,227","168,260","46,697","170,841","31,203","48,615","122,685","27,856","175,672","39,547","416,956","274,868","19,645","337,916","292,147","172,487","289,051","25,451","120,564","24,822","156,858","571,511","83,627","14,592","284,805","396,617","37,274","135,868","13,291","1,939"
"Total housing units","2,278,526","324,434","3,056,890","1,361,880","14,328,539","2,454,873","1,527,039","445,104","344,306","9,764,897","4,375,039","556,937","742,145","5,412,995","2,911,562","1,407,100","1,272,290","1,988,420","2,066,323","737,782","2,516,341","2,979,634","4,566,504","2,470,483","1,317,375","2,782,081","512,553","840,802","1,269,846","636,480","3,738,342","937,397","8,449,178","4,673,933","370,111","5,232,733","1,741,721","1,798,864","5,728,788","481,168","2,325,248","391,857","3,011,124","11,433,880","1,133,558","333,519","3,596,100","3,170,695","859,437","2,718,369","271,818","1,553,791"
"CITIZEN, VOTING AGE POPULATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Citizen, 18 and over population","3,782,980","532,632","5,000,102","2,211,566","25,916,215","4,194,478","2,638,024","733,786","512,337","15,394,161","7,568,124","1,045,232","1,298,422","9,133,896","4,964,971","2,348,191","2,110,053","3,378,375","3,455,661","1,082,844","4,388,181","5,105,070","7,592,246","4,161,286","2,225,553","4,635,933","835,506","1,391,772","2,099,147","1,079,642","6,384,667","1,522,109","14,182,047","7,615,601","571,023","8,909,366","2,852,278","3,135,105","9,893,009","819,450","3,836,604","645,570","5,138,918","18,729,813","2,143,417","512,071","6,256,028","5,413,415","1,422,143","4,437,212","431,007","2,670,761"
"        Male","1,806,826","281,085","2,476,974","1,072,583","12,796,956","2,108,677","1,273,727","351,139","239,164","7,450,989","3,622,153","530,534","648,587","4,441,729","2,425,134","1,161,896","1,045,472","1,647,932","1,666,355","528,235","2,097,895","2,449,766","3,713,704","2,064,974","1,063,306","2,256,906","421,457","689,553","1,053,866","534,242","3,086,484","748,253","6,802,513","3,656,483","293,345","4,331,266","1,401,083","1,543,471","4,813,225","395,191","1,835,194","325,317","2,477,536","9,207,446","1,075,488","251,654","3,061,042","2,701,021","701,553","2,200,441","220,173","1,247,483"
"        Female","1,976,154","251,547","2,523,128","1,138,983","13,119,259","2,085,801","1,364,297","382,647","273,173","7,943,172","3,945,971","514,698","649,835","4,692,167","2,539,837","1,186,295","1,064,581","1,730,443","1,789,306","554,609","2,290,286","2,655,304","3,878,542","2,096,312","1,162,247","2,379,027","414,049","702,219","1,045,281","545,400","3,298,183","773,856","7,379,534","3,959,118","277,678","4,578,100","1,451,195","1,591,634","5,079,784","424,259","2,001,410","320,253","2,661,382","9,522,367","1,067,929","260,417","3,194,986","2,712,394","720,590","2,236,771","210,834","1,423,278"
