COUNTRY;Country;VARIABLE;Variable;YEAR;Year;Unit Code;Unit;PowerCode Code;PowerCode;Reference Period Code;Reference Period;Value;Flag Codes;Flags
AUT;Austria;B-V-02_010_24;Cross trade transport;2018;2018;TONNE;Tonnes;3;Thousands;;;978;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2010;2010;TONNE;Tonnes;3;Thousands;;;4136;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2011;2011;TONNE;Tonnes;3;Thousands;;;3827;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2012;2012;TONNE;Tonnes;3;Thousands;;;3930;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2013;2013;TONNE;Tonnes;3;Thousands;;;3704;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2014;2014;TONNE;Tonnes;3;Thousands;;;3689;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2015;2015;TONNE;Tonnes;3;Thousands;;;3266;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2016;2016;TONNE;Tonnes;3;Thousands;;;3460;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2017;2017;TONNE;Tonnes;3;Thousands;;;3770;;
AUT;Austria;B-V-02_010_25;Road cabotage transport;2018;2018;TONNE;Tonnes;3;Thousands;;;3802;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2010;2010;TONNEKM;Tonnes-kilometres;6;Millions;;;16539;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2011;2011;TONNEKM;Tonnes-kilometres;6;Millions;;;16997;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2012;2012;TONNEKM;Tonnes-kilometres;6;Millions;;;16143;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2013;2013;TONNEKM;Tonnes-kilometres;6;Millions;;;15524;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2014;2014;TONNEKM;Tonnes-kilometres;6;Millions;;;16605;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2015;2015;TONNEKM;Tonnes-kilometres;6;Millions;;;17161;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2016;2016;TONNEKM;Tonnes-kilometres;6;Millions;;;18091;;
AUT;Austria;B-V-02_110_00;Total goods - Tonne-km  (millions);2017;2017;TONNEKM;Tonnes-kilometres;6;Millions;;;18400;;
